# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	NOTE	TOKENS	VALUE	SAGARTID	MORPHEMES
1266	- - - - r - - d - ə̂/ə - - - - - - - -		256	703	heavy	WobziKhroskyabs	rdə̂	31638		r d ə̂/ə	rdə̂	10379	HEAVY
1562	- - - - - - - l - ⁵⁵/o - - - - l ⁵⁵/o - -		256	703	heavy	Zhaba	lo⁵⁵lo⁵⁵	21789		l ⁵⁵/o l ⁵⁵/o	lo⁵⁵lo⁵⁵	2294	HEAVY
1829	k ə + - - - - - - - l - i - - - - - - - -		256	702 703	heavy	MaerkangrGyalrong	kə li	18029		k ə + l i	kə li	10379	_heavy HEAVY
2079	- - - - - - - ɣ - ³³/ə - - - - ɣ ⁵³/ə - -		256	703	heavy	MuyaKangding	ɣə³³ɣə⁵³	23029		ɣ ³³/ə ɣ ⁵³/ə	ɣə³³ɣə⁵³	0	HEAVY
2329	- - - - - - - ɣ - ə - - - - ɣ ¹/ə - -		256	703	heavy	MenyaGao	1ɣəɣə			ɣ ə ɣ ¹/ə	1ɣəɣə	0	HEAVY
2646	- - - - - - - l - i y ɦ - - - - - -		256	703	heavy	OldBurmese	liyḥ	31076		l i y ɦ	liyḥ	10379	HEAVY
2887	- - q ⁵⁵/a r - - l - ⁵⁵/ə - - - - - - - -		256	703	heavy	QueyuXinlong	qa⁵⁵rlə⁵⁵	20622		q ⁵⁵/a r l ⁵⁵/ə	qa⁵⁵rlə⁵⁵	0	HEAVY
3283	- - - - - - - l - ə - - - g l ə̄/ə - -		256	703	heavy	QueyuPubarong	ləglə̄			l ə g l ə̄/ə	ləglə̄	0	HEAVY
3419	- - - - r - - d - ə̂/ə - - d - - - - -		256	703	heavy	SiyuewuKhroskyabs	rdə̂d	38832		r d ə̂/ə d	rdə̂d	0	HEAVY
3736	- - - - - - - d - î - - - - - - - -		256	703	heavy	BragbarSitu	dî			d î	dî	0	HEAVY
4071	- - - - - - l d - ə - - - - - - - -		256	703	heavy	Geshiza	ldə			l d ə	ldə	0	HEAVY
4351	- - ʁ - r - - d - ⁵³/ə - - - - - - - -		256	703	heavy	GuanyinqiaoKhroskyabs	ʁrdə⁵³			ʁ r d ⁵³/ə	ʁrdə⁵³	0	HEAVY
4896	- - ʁ - r - - d - i - - ⁵⁵/t - - - - -		256	703	heavy	NjorogsKhroskyabs	ʁrdit⁵⁵			ʁ r d i ⁵⁵/t	ʁrdit⁵⁵	0	HEAVY
5150	- - - - r - - ɟ - i - - - - - - - -		256	703	heavy	Tshobdun	rɟi			r ɟ i	rɟi	0	HEAVY
5389	k ə + - - - - r - - ɟ - ə́/ə - - ʔ - - - - -		256	702 703	heavy	NgyaltsuZbu	kə-rɟə́ʔ			k ə + r ɟ ə́/ə ʔ	kə-rɟə́ʔ	0	_heavy HEAVY
5613	- - - - - - - ɣ - ³¹/ɨ - - - - - - t ⁵⁵/ə		256	703	heavy	Zlarong	ɣɨ31tə55			ɣ ³¹/ɨ t ⁵⁵/ə	ɣɨ31tə55	0	HEAVY
5873	k ə - - - - - d - u - - - - - - - -		256	703	heavy	KyomkyoSitu	kədu			k ə d u	kədu	0	HEAVY
6535	- - - - - n - ɮ - ə - - - - - - - -		256	703	heavy	MazurStau	nɮə			n ɮ ə	nɮə		HEAVY
#
199	o t n i		274	725	here	Bantawa	otni			o t n i	otni	0	HERE
300	ɛ + d e + qʰ ɛ - -		271	728 7800 7801	here	Daofu	ɛ de qhɛ	19240		ɛ + d e + qʰ ɛ	ɛ de qhɛ	1864	HERE _here _here
571	k ɯ r e		261	739	here	Japhug	kɯre	4553		k ɯ r e	kɯre	1867	HERE
1267	c ə̂/ə + g ə		260	730 7797	here	WobziKhroskyabs	cə̂gə	31639		c ə̂/ə + g ə	cə̂gə	5067	HERE _here
1563	k ³³/ʊ - - + ŋ ⁵⁵/ʊ		261	739 740	here	Zhaba	kᴜ³³ ŋᴜ⁵⁵	21736		k ³³/ʊ + ŋ ⁵⁵/ʊ	kᴜ³³ ŋᴜ⁵⁵	4601	HERE _here
1564	k ³³/ʊ - - + - kʰ ⁵⁵/ə		261	739 734	here	Zhaba	kᴜ³³ khə⁵⁵	21737		k ³³/ʊ + kʰ ⁵⁵/ə	kᴜ³³ khə⁵⁵	4601	HERE _here
1830	ʃ t ə i		279	732	here	MaerkangrGyalrong	ʃtəi	17984		ʃ t ə i	ʃtəi	3989	HERE
2080	³³/ɐ kʰ ⁵³/ɐ		0	734 729	here	MuyaKangding	ɐ³³ khɐ⁵³	22970	!cognates	³³/ɐ kʰ ⁵³/ɐ	ɐ³³ khɐ⁵³	0	
2514	ʌ kʰ ¹/ʌ		263	734	here	MenyaGao	1ʌkhʌ			ʌ kʰ ¹/ʌ	1ʌkhʌ	0	HERE
2647	s a ɲ + t o₁/o ŋ		265	737 738	here	OldBurmese	sañ◦to₁ṅ	31077		s a ɲ + t o₁/o ŋ	sañ◦to₁ṅ	3927	HERE _here
2888	tʃ ⁵⁵/i + k ⁵⁵/ɯ - -		262	727 7804	here	QueyuXinlong	tʃi⁵⁵ kɯ⁵⁵	20570		tʃ ⁵⁵/i + k ⁵⁵/ɯ	tʃi⁵⁵ kɯ⁵⁵	0	HERE _here
3284	k ə̄ - - + tʰ ə		261	739 7798	here	QueyuPubarong	kə̄tʰə			k ə̄ + tʰ ə	kə̄tʰə	0	HERE _here
3420	c ə̂/ə + g ə		260	730 7797	here	SiyuewuKhroskyabs	cə̂gə	38833		c ə̂/ə + g ə	cə̂gə	0	HERE _here
3737	t ə + tɕ ɐ		262	726 727	here	BragbarSitu	ˈtə-tɕɐ			t ə + tɕ ɐ	ˈtə-tɕɐ	0	_here HERE
4352	cç ⁵³/ə + g ³³/ə		260	730 7797	here	GuanyinqiaoKhroskyabs	cçə⁵³gə³³			cç ⁵³/ə + g ³³/ə	cçə⁵³gə³³	0	HERE _here
4353	cç ⁵³/ə + ʁ ³³/ɑ		260	730 7799	here	GuanyinqiaoKhroskyabs	cçə⁵³ʁɑ³³			cç ⁵³/ə + ʁ ³³/ɑ	cçə⁵³ʁɑ³³	0	HERE _here
4683	c ⁵⁵/i + t ⁵⁵/o		260	730 7805	here	NjorogsKhroskyabs	ci⁵⁵to⁵⁵			c ⁵⁵/i + t ⁵⁵/o	ci⁵⁵to⁵⁵	0	HERE _here
5039	kʰ ə́/ə + - kʰ o		263	7803 734	here	Tshobdun	kʰə́kʰo			kʰ ə́/ə + kʰ o	kʰə́kʰo	0	_here HERE
5276	ɐ kʰ ó/o ʔ		278	735	here	NgyaltsuZbu	ɐkhóʔ			ɐ kʰ ó/o ʔ	ɐkhóʔ	0	HERE
5593	⁵⁵/ã n ³¹/a		272	741	here	Zlarong	ã55na31			⁵⁵/ã n ³¹/a	ã55na31	0	HERE
5874	tʃ e		262	727	here	KyomkyoSitu	tʃe			tʃ e	tʃe	0	HERE
#
100	ɨ k i w a ŋ		290	760	high / tall	Bantawa	ɨkiwaŋ			ɨ k i w a ŋ	ɨkiwaŋ	0	HIGH
106	dzʱ o n m a + dzʱ o n t a		287	771 772	high / tall	Bantawa	jʰonma (jʰonta)			dzʱ o n m a + dzʱ o n t a	jʰonma (jʰonta)	0	HIGH _high
301	( g ɛ ) + m tʰ u - - - - -	tib	282	762 763	high / tall	Daofu	gɛ mthu	19262		g ɛ + m tʰ u	gɛ mthu	139	_high HIGH
302	( g ɛ ) + cçʰ ɛ		284	762 773	high / tall	Daofu	gɛ cçhɛ	19263		g ɛ + cçʰ ɛ	gɛ cçhɛ	1351	HIGH _high
572	- - m b r o -		281	761	high / tall	Japhug	mbro	25824		m b r o	mbro	896	HIGH
941	- - - b j i j		281	761	high / tall	Tangut	bjij	37999		b j i j	bjij	896	HIGH
1268	æ + - - - b r ê/e -		281	768 761	high / tall	WobziKhroskyabs	æ-brê	31641		æ + b r ê/e	æ-brê	896	_high HIGH
1565	n ɖʐ ⁵⁵/o n ɖʐ ⁵⁵/o		286	769	high / tall	Zhaba	ndʐo⁵⁵ndʐo⁵⁵	21754		n ɖʐ ⁵⁵/o n ɖʐ ⁵⁵/o	ndʐo⁵⁵ndʐo⁵⁵	896	HIGH
1831	k ə + - - m b r o -		281	7911 761	high / tall	MaerkangrGyalrong	kə mbro	17998		k ə + m b r o	kə mbro	896	_high HIGH
2081	- tʰ ³³/ø̃ - tʰ ⁵³/ø - -	tib	282	763	high / tall	MuyaKangding	thø̃³³thø⁵³	22988		tʰ ³³/ø̃ tʰ ⁵³/ø	thø̃³³thø⁵³	0	HIGH
2594	- tʰ ø n tʰ ²/ø - -	tib	282	763	high / tall	MenyaGao	2thønthø			tʰ ø n tʰ ²/ø	2thønthø	0	HIGH
2648	m r a ŋ ʔ		291	766	high / tall	OldBurmese	mraṅʔ	31078		m r a ŋ ʔ	mraṅʔ	896	HIGH
2889	m tʰ ³³/y m tʰ ⁵⁵/y - -	tib	282	763	high / tall	QueyuXinlong	mthy³³mthy⁵⁵	22402		m tʰ ³³/y m tʰ ⁵⁵/y	mthy³³mthy⁵⁵	0	HIGH
3286	- tʰ u m tʰ ū/u - -	tib	282	763	high / tall	QueyuPubarong	tʰumtʰū			tʰ u m tʰ ū/u	tʰumtʰū	0	HIGH
3421	- - - b r ê/e -		281	761	high / tall	SiyuewuKhroskyabs	brê	38834		b r ê/e	brê	0	HIGH
3738	- - m b r ô/o -		281	761	high / tall	BragbarSitu	mbrô			m b r ô/o	mbrô	0	HIGH
4039	- - - b j i -		281	761	high / tall	Geshiza	bji			b j i	bji	0	HIGH
4354	- - - b r ⁵³/e -		281	761	high / tall	GuanyinqiaoKhroskyabs	bre⁵³			b r ⁵³/e	bre⁵³	0	HIGH
4677	- - - b r ⁵⁵/o -		281	761	high / tall	NjorogsKhroskyabs	bro⁵⁵			b r ⁵⁵/o	bro⁵⁵	0	HIGH
5017	j ɐ n ʔ		292	767	high / tall	Tshobdun	jɐnʔ			j ɐ n ʔ	jɐnʔ	0	HIGH
5080	- - - ⁿb r i ʔ		281	761	high / tall	Tshobdun	ⁿbriʔ			ⁿb r i ʔ	ⁿbriʔ	0	HIGH
5408	k ɯ + - - n b r ɑ́/ɑ ʔ		281	7911 761	high / tall	NgyaltsuZbu	kɯ-nbrɑ́ʔ			k ɯ + n b r ɑ́/ɑ ʔ	kɯ-nbrɑ́ʔ	0	_high HIGH
5792	- tʰ ³¹/u - - - w ⁵⁵/o	tib	282	763	high / tall	Zlarong	thu31wo55			tʰ ³¹/u w ⁵⁵/o	thu31wo55	0	HIGH
5875	k ə m b r o -		281	761	high / tall	KyomkyoSitu	kəmbro			k ə m b r o	kəmbro	0	HIGH
6536	m tʰ u - - - - -	tib	282	763	high / tall	MazurStau	mtʰu			m tʰ u	mtʰu		HIGH
#
303	- - g ə r o ɣ ə r o		1360	809 795 796 797	horizontal	Daofu	gə ro ɣə ro	19297	!cognates	g ə r o ɣ ə r o	gə ro ɣə ro	1360	
573	- - - - - nd o m - - - - -		294	799	horizontal	Japhug	ndom	25791		nd o m	ndom	3103	HORIZONTAL
1566	ŋ ⁵⁵/ʌ ʂ k ⁵⁵/i		301	808	horizontal	Zhaba	ŋʌ⁵⁵ʂki⁵⁵	23771		ŋ ⁵⁵/ʌ ʂ k ⁵⁵/i	ŋʌ⁵⁵ʂki⁵⁵	2728	HORIZONTAL
1832	k ɑ + m k r ɑ k		295	794 793	horizontal	MaerkangrGyalrong	kɑ mkrɑk	18018		k ɑ + m k r ɑ k	kɑ mkrɑk	982	_horizontal HORIZONTAL
2082	- ʈʂʰ ⁵⁵/ẽ - tʂʰ ⁵³/e	tib	293	801	horizontal	MuyaKangding	tʂhẽ⁵⁵tʂhe⁵³	20685		ʈʂʰ ⁵⁵/ẽ tʂʰ ⁵³/e	tʂhẽ⁵⁵tʂhe⁵³	0	HORIZONTAL
2083	- ʈʂʰ ⁵³/e - - -	tib	293	801	horizontal	MuyaKangding	tʂhe⁵³	22294		ʈʂʰ ⁵³/e	tʂhe⁵³	0	HORIZONTAL
2502	- tʂʰ e n tʂʰ ¹/e	tib	293	801	horizontal	MenyaGao	1tʂhentʂhe			tʂʰ e n tʂʰ ¹/e	1tʂhentʂhe	0	HORIZONTAL
2649	k a n ʔ + l a n ʔ		299	803 804	horizontal	OldBurmese	kanʔ◦lanʔ	31079		k a n ʔ + l a n ʔ	kanʔ◦lanʔ	1022	HORIZONTAL _horizontal
2890	m tʂʰ ⁵⁵/e m tʂʰ ³³/e	tib	293	801	horizontal	QueyuXinlong	mtʂhe⁵⁵mtʂhe³³	20610		m tʂʰ ⁵⁵/e m tʂʰ ³³/e	mtʂhe⁵⁵mtʂhe³³	0	HORIZONTAL
3287	- ʈʂʰ ə̄ p ʈʂʰ ə	tib	293	801	horizontal	QueyuPubarong	tʂʰə̄ptʂʰə			ʈʂʰ ə̄ p ʈʂʰ ə	tʂʰə̄ptʂʰə	0	HORIZONTAL
3422	ʁ - z d ə d ə́/ə m - - - - -		294	799	horizontal	SiyuewuKhroskyabs	ʁzdədə́m	38835		ʁ z d ə d ə́/ə m	ʁzdədə́m	0	HORIZONTAL
3739	- o + m k r ā/a k		295	792 793	horizontal	BragbarSitu	o-mkrāk			o + m k r ā/a k	o-mkrāk	0	_horizontal HORIZONTAL
4355	ʁ v - - - d ⁵³/ə m - - - - -		294	799	horizontal	GuanyinqiaoKhroskyabs	ʁvdəm⁵³			ʁ v d ⁵³/ə m	ʁvdəm⁵³	0	HORIZONTAL
4886	ʁ - - - - d ³³/a m - d ⁵⁵/a ʔ m		294	799	horizontal	NjorogsKhroskyabs	ʁdam³³daʔm⁵⁵			ʁ d ³³/a m d ⁵⁵/a ʔ m	ʁdam³³daʔm⁵⁵	0	HORIZONTAL
5409	k ɯ + - - - - - ⁿd ɑ́/ɑ m ʔ - - - -		294	794 799	horizontal	NgyaltsuZbu	kɯ-ndɑ́mʔ			k ɯ + ⁿd ɑ́/ɑ m ʔ	kɯ-ndɑ́mʔ	0	_horizontal HORIZONTAL
5787	tʰ ¹³/e - - r ¹³/e - - - -		297	809	horizontal	Zlarong	the13re13			tʰ ¹³/e r ¹³/e	the13re13	0	HORIZONTAL
5876	k ə + ŋ a + m k r a k		295	794 792 793	horizontal	KyomkyoSitu	kəŋamkrak			k ə + ŋ a + m k r a k	kəŋamkrak	0	_horizontal _horizontal HORIZONTAL
6537	- - k ə r o ɣ ə r o		297	809	horizontal	MazurStau	kə-ro ɣə-ro			k ə r o ɣ ə r o	kə-ro ɣə-ro		HORIZONTAL
#
72	h a k m a + h a k t a		307	817 818	hot	Bantawa	hakma (hakta)			h a k m a + h a k t a	hakma (hakta)	0	HOT _hot
304	- - - x ts - ɛ - x ts ɛ - - - -		4221	820 821	hot	Daofu	xtsɛ xtsɛ	19365	!cognates	x ts ɛ x ts ɛ	xtsɛ xtsɛ	4221	
574	s ɤ ɕ k e - -		303	824	hot	Japhug	sɤɕke	25792		s ɤ ɕ k e	sɤɕke	4221	HOT
942	- - - - ts j a - - - - - - - -		302	820	hot	Tangut	tsja	38035		ts j a	tsja	586	HOT
1269	- - s k í - -		303	824	hot	WobziKhroskyabs	skí	31646		s k í	skí	4221	HOT
1567	ȵ ⁵⁵/i		309	836	hot	Zhaba	ȵi⁵⁵	21833		ȵ ⁵⁵/i	ȵi⁵⁵	2306	HOT
1568	k ⁵⁵/ʊ l y ⁵⁵/ø - -		304	839	hot	Zhaba	kᴜ⁵⁵lyø⁵⁵	21832		k ⁵⁵/ʊ l y ⁵⁵/ø	kᴜ⁵⁵lyø⁵⁵	2305	HOT
1833	k ə + w ɑ - s ts - ɛ - - - - - - - -		4221	829 820 823	hot	MaerkangrGyalrong	kə wɑ stsᴇ	18058	!cognates	k ə + w ɑ s ts ɛ	kə wɑ stsᴇ	4221	
2084	- - - - ts - ³³/ɐ - - ts ⁵³/ɐ - - - -		302	820	hot	MuyaKangding	tsɐ³³tsɐ⁵³	23071		ts ³³/ɐ ts ⁵³/ɐ	tsɐ³³tsɐ⁵³	0	HOT
2501	- - - - ts - ʌ - - ts ¹/ʌ - - - -		302	820	hot	MenyaGao	1tsʌtsʌ			ts ʌ ts ¹/ʌ	1tsʌtsʌ	0	HOT
2650	n u y ɦ		311	830	hot	OldBurmese	nuyḥ	31080		n u y ɦ	nuyḥ	3684	HOT
2891	q ⁵⁵/a l - ⁵⁵/u - -		304	839	hot	QueyuXinlong	qa⁵⁵lu⁵⁵	20659		q ⁵⁵/a l ⁵⁵/u	qa⁵⁵lu⁵⁵	0	HOT
2892	- - l - ⁵⁵/u l ³³/u		304	839	hot	QueyuXinlong	lu⁵⁵lu³³	22087		l ⁵⁵/u l ³³/u	lu⁵⁵lu³³	0	HOT
3154	- - ɬ - u ɬ u		304	839	hot	QueyuPubarong	ɬuɬu			ɬ u ɬ u	ɬuɬu	0	HOT
3423	- - - - tsʰ - î d - - - - - - -		302	820	hot	SiyuewuKhroskyabs	tsʰîd	38836		tsʰ î d	tsʰîd	0	HOT
3424	- - s k í - -		303	824	hot	SiyuewuKhroskyabs	skí	38837		s k í	skí	0	HOT
3740	- - - r ts - ê/e - - - - - - - -		302	820	hot	BragbarSitu	rtsê			r ts ê/e	rtsê	0	HOT
3741	ɕ a + - - ɕ k ɐ̂/ɐ j -		303	837 824	hot	BragbarSitu	ɕa-ɕkɐ̂j			ɕ a + ɕ k ɐ̂/ɐ j	ɕa-ɕkɐ̂j	0	_hot HOT
4080	- - - - - l o		304	839	hot	Geshiza	lo			l o	lo	0	HOT
4356	- - s k ⁵³/i - -		303	824	hot	GuanyinqiaoKhroskyabs	ski⁵³			s k ⁵³/i	ski⁵³	0	HOT
4695	- - ɕ k ⁵⁵/i - ʔ		303	824	hot	NjorogsKhroskyabs	ɕkiʔ⁵⁵			ɕ k ⁵⁵/i ʔ	ɕkiʔ⁵⁵	0	HOT
5095	- - n - tsʰ - ɐ - - - - d ə ɣ ʔ		302	820	hot	Tshobdun	ntsʰɐdəɣʔ			n tsʰ ɐ d ə ɣ ʔ	ntsʰɐdəɣʔ	0	HOT
5268	k ə + s ɐ s k î - -		303	829 824	hot	NgyaltsuZbu	kə-sɐskî			k ə + s ɐ s k î	kə-sɐskî	0	_hot HOT
5798	- - - - ts - ³¹/ə - - ts ⁵³/ə - - - -		302	820	hot	Zlarong	tsə31tsə53			ts ³¹/ə ts ⁵³/ə	tsə31tsə53	0	HOT
5808	tsʰ ⁵⁵/o t ⁵³/u k ⁵⁵/i l ⁵³/i		306	840	hot	Zlarong	tsho55tu53ki55li53			tsʰ ⁵⁵/o t ⁵³/u k ⁵⁵/i l ⁵³/i	tsho55tu53ki55li53	0	HOT
5877	k ə + s a ʃ k i - -		303	829 824	hot	KyomkyoSitu	kəsaʃki			k ə + s a ʃ k i	kəsaʃki	0	_hot HOT
5878	k ə + v a - s ts - i - - - - - - - -		302	829 820	hot	KyomkyoSitu	kəvastsi			k ə + v a s ts i	kəvastsi	0	_hot HOT
6538			310	7929	hot	MazurStau	cʰu			cʰ u	cʰu		HOT
#
49	d e t n i		314	851	how	Bantawa	detni			d e t n i	detni	0	HOW
853	- - tɕʰ - i - - - - - - - - - - - - - - - - - - - - n ɖʐ a		313	7754	how	Japhug	tɕhindʐa			tɕʰ i n ɖʐ a	tɕhindʐa	0	HOW
1229	l j o̙/o		316	862	how	Tangut	ljọ			l j o̙/o	ljọ	0	HOW
1484	- - tʰ j ê m ɲ i - - - - - - - - - - - - - - - - - - - -		313	7754	how	WobziKhroskyabs	tʰjêmɲi			tʰ j ê m ɲ i	tʰjêmɲi	0	HOW
2339	ɦ ɛ m ə n ¹/ə		315	858	how	MenyaGao	1ɦɛmənə			ɦ ɛ m ə n ¹/ə	1ɦɛmənə	0	HOW
3288	- n d - e - - - - z ɨ - - - - - - - - - - - - - - - - -		0	7754 861	how	QueyuPubarong	nde zɨ		!cognates	n d e z ɨ	nde zɨ	0	
3425	- - tʰ j æ̂/æ m ɲ ə d - - - - - - - - - - - - - - - - - - -		313	7754	how	SiyuewuKhroskyabs	tʰjæ̂mɲəd	38838		tʰ j æ̂/æ m ɲ ə d	tʰjæ̂mɲəd	0	HOW
3742	- - tʰ ə - - - - - - - - - - - - - k - - s ə - n - - - -		0	7754 853	how	BragbarSitu	ˈthə-ksən		!cognates	tʰ ə k s ə n	ˈthə-ksən	0	
4021	æ - tɕʰ ə - - - - - - - b ɔ - - - - - - - - - - - - - - -		0	7754 855	how	Geshiza	ætɕhə-bɔ		!cognates	æ tɕʰ ə b ɔ	ætɕhə-bɔ	0	
4357	- - tʰ - ⁵⁵/i m ɲ ³³/i - - - - - - - - - - - - - - - - - - - -		313	7754	how	GuanyinqiaoKhroskyabs	tʰi⁵⁵mɲi³³			tʰ ⁵⁵/i m ɲ ³³/i	tʰi⁵⁵mɲi³³	0	HOW
4943	- - t ⁵⁵/e - m ɲ e ³³/t - - - - m ³³/e - - - - - - - - - - - - -		313	7754	how	NjorogsKhroskyabs	te⁵⁵mɲet³³me³³			t ⁵⁵/e m ɲ e ³³/t m ³³/e	te⁵⁵mɲet³³me³³	0	HOW
5229	- - tʃʰ ə - - - - - - - - - - - t e k ɐ - s o - - ʔ - - -		313	7754	how	Tshobdun	tʃʰətekɐsoʔ			tʃʰ ə t e k ɐ s o ʔ	tʃʰətekɐsoʔ	0	HOW
5522	- - t í - - - - - - - - - - - - - k ə f s əː - - - - - -		313	7754	how	NgyaltsuZbu	tíkəfsəə			t í k ə f s əː	tíkəfsəə	0	HOW
5782	- - t ⁵⁵/ə - ŋ ⁵⁵/ə - - - - - - - - - - - - - - - - - - - - -		313	7754	how	Zlarong	tə55ŋə55			t ⁵⁵/ə ŋ ⁵⁵/ə	tə55ŋə55	0	HOW
5879	- - tʰ i - - - - - - - - - - - - - - - - s o k - - - - -		313	7754	how	KyomkyoSitu	thisok			tʰ i s o k	thisok	0	HOW
#
305	- - - - - - r j - ə - - - - - -		317	7856	hundred	Daofu	rjə	19167		r j ə	rjə	185	HUNDRED
576	- - - - ɣ u r ʑ - a - - - - - -		317	7856	hundred	Japhug	ɣurʑa	4924		ɣ u r ʑ a	ɣurʑa	185	HUNDRED
943	- - - - - - - j - i r - - - - -		317	7856	hundred	Tangut	jir	38139		j i r	jir	185	HUNDRED
1270	- - - - - - r j - î - - - - - -		317	7856	hundred	WobziKhroskyabs	rjî	31648		r j î	rjî	185	HUNDRED
1569	- - - - - - - ɟj - ¹³/i - - - - - -		317	7856	hundred	Zhaba	ɟji¹³	21658		ɟj ¹³/i	ɟji¹³	185	HUNDRED
1834	- - - - p ə r j - ɐ - - - - - -		185	7856 873	hundred	MaerkangrGyalrong	pə |rjɐ	17929	!cognates	p ə r j ɐ	pə |rjɐ	185	
2085	- t ⁵⁵/a - - - r - - ⁵³/a - - - - - -		317	7856	hundred	MuyaKangding	ta⁵⁵ra⁵³	22895		t ⁵⁵/a r ⁵³/a	ta⁵⁵ra⁵³	0	HUNDRED
2086	- - - - - - - dʑ - ⁵³/æ - - - - - -		317	7856	hundred	MuyaKangding	dʑæ⁵³	22896		dʑ ⁵³/æ	dʑæ⁵³	0	HUNDRED
2323	- - - - - - - dʑ - ¹/ɛ - - - - - -		317	7856	hundred	MenyaGao	1dʑɛ			dʑ ¹/ɛ	1dʑɛ	0	HUNDRED
2651	- - - - - - r y - ā/a - - - - - -		317	7856	hundred	OldBurmese	ryā	31081		r y ā/a	ryā	185	HUNDRED
2893	- - - - b - - dʑ - ¹³/ə - - - - - -		317	7856	hundred	QueyuXinlong	bdʑə¹³	20483		b dʑ ¹³/ə	bdʑə¹³	0	HUNDRED
3289	- - - - - - - dʑ j ā/a - tʰ a m p a		317	7856	hundred	QueyuPubarong	dʑjātʰampa			dʑ j ā/a tʰ a m p a	dʑjātʰampa	0	HUNDRED
3426	- - - ʁ v - r j - î - - - - - -		317	7856	hundred	SiyuewuKhroskyabs	ʁvrjî	38839		ʁ v r j î	ʁvrjî	0	HUNDRED
3743	- - - - p ə r ɟ - ē/e - - - - - -		317	7856	hundred	BragbarSitu	pərɟē			p ə r ɟ ē/e	pərɟē	0	HUNDRED
4172	- - - - - - r j - ə - - - - - -		317	7856	hundred	Geshiza	rjə			r j ə	rjə	0	HUNDRED
4358	- - - - v - r j - ⁵³/i - - - - - -		317	7856	hundred	GuanyinqiaoKhroskyabs	vrji⁵³			v r j ⁵³/i	vrji⁵³	0	HUNDRED
4963	- - - - v - r j - ⁵³/e - - - - - -		317	7856	hundred	NjorogsKhroskyabs	vrje⁵³			v r j ⁵³/e	vrje⁵³	0	HUNDRED
5105	o - - - - - r ɟ - e - - - - - -		317	7856	hundred	Tshobdun	orɟe			o r ɟ e	orɟe	0	HUNDRED
5269	- - - - - - r - - î - - - - - -		317	7856	hundred	NgyaltsuZbu	-rî			r î	-rî	0	HUNDRED
5606	- - - - - - - dʑ - ⁵³/e - - - - - -		317	7856	hundred	Zlarong	dʑe53			dʑ ⁵³/e	dʑe53	0	HUNDRED
5880	- - - - p ə r ɟ - a - - - - - -		317	7856	hundred	KyomkyoSitu	pərɟa			p ə r ɟ a	pərɟa	0	HUNDRED
6539	- - - - - - r j - ə - - - - - -		317	7856	hundred	MazurStau	rjə			r j ə	rjə		HUNDRED
#
89	h u - t -		325	895	inside	Bantawa	hut			h u t	hut	0	INSIDE
90	h u t d a		325	895	inside	Bantawa	hutda			h u t d a	hutda	0	INSIDE
306	n o ŋ - - - - -	tib	322	898	inside	Daofu	noŋ	19094		n o ŋ	noŋ	255	INSIDE
577	ɯ + - - ŋg ɯ		321	900 897	inside	Japhug	ɯ-ŋgɯ	25793		ɯ + ŋg ɯ	ɯ-ŋgɯ	626	_inside INSIDE
944	u		326	896	inside	Tangut	u	38059		u	u	4214	INSIDE
1271	- - g ə		321	897	inside	WobziKhroskyabs	gə	31653		g ə	gə	626	INSIDE
1570	kʰ ⁵⁵/ə p ⁵⁵/i		331	908	inside	Zhaba	khə⁵⁵pi⁵⁵	21599		kʰ ⁵⁵/ə p ⁵⁵/i	khə⁵⁵pi⁵⁵	2261	INSIDE
1835	w u + - - g u		321	900 897	inside	MaerkangrGyalrong	wu gu	17856		w u + g u	wu gu	626	_inside INSIDE
2087	kʰ ²⁴/u		324	899	inside	MuyaKangding	khu²⁴	19463		kʰ ²⁴/u	khu²⁴	0	INSIDE
2460	tɕʰ ¹/ʌ		327	903	inside	MenyaGao	1tɕhʌ			tɕʰ ¹/ʌ	1tɕhʌ	0	INSIDE
2652	ʔ a + t o₁/o ŋ ɦ		328	905 906	inside	OldBurmese	ʔa◦to₁ṅḥ	31083		ʔ a + t o₁/o ŋ ɦ	ʔa◦to₁ṅḥ	10574	INSIDE _inside
2894	q ¹³/o ŋ ⁵⁵/a		330	907	inside	QueyuXinlong	qo¹³ŋa⁵⁵	20410		q ¹³/o ŋ ⁵⁵/a	qo¹³ŋa⁵⁵	0	INSIDE
3148	k ū/u		324	899	inside	QueyuPubarong	kū			k ū/u	kū	0	INSIDE
3427	n o ŋ z g ô/o - -	tib	322	898	inside	SiyuewuKhroskyabs	noŋzgô	38841		n o ŋ z g ô/o	noŋzgô	0	INSIDE
3745	u + - - ŋg ū/u		321	900 897	inside	BragbarSitu	u-ŋgū			u + ŋg ū/u	u-ŋgū	0	_inside INSIDE
4120	n o ŋ - - - - -	tib	322	898	inside	Geshiza	noŋ			n o ŋ	noŋ	0	INSIDE
4360	- - g ⁵³/ə		321	897	inside	GuanyinqiaoKhroskyabs	gə⁵³			g ⁵³/ə	gə⁵³	0	INSIDE
4710	- ³³/ə + - - g ⁵⁵/u		321	900 897	inside	NjorogsKhroskyabs	ə³³gu⁵⁵			³³/ə + g ⁵⁵/u	ə³³gu⁵⁵	0	_inside INSIDE
