# Wordlist

# DATA
ID	ALIGNMENT	BORROWING	COGID	COGIDS	CONCEPT	DOCULECT	FORM	ID_IN_SOURCE	MORPHEMES	NOTE	TOKENS	VALUE	GLOSSES
3464	m ɲ ə́/ə n		630	1739	soft	SiyuewuKhroskyabs	mɲə́n	38881			m ɲ ə́/ə n	mɲə́n	SOFT
3780	r - d ɐ̂/ɐ - m -		625	1725	soft	BragbarSitu	rdɐ̂m				r d ɐ̂/ɐ m	rdɐ̂m	SOFT
4128	- n - v - ə - - - - - - -		624	1726	soft	Geshiza	nvə				n v ə	nvə	SOFT
4396	m n ⁵³/u - -		626	1728	soft	GuanyinqiaoKhroskyabs	mnu⁵³				m n ⁵³/u	mnu⁵³	SOFT
4791	- n d v - ⁵⁵/ə - t - - - - -		624	1726	soft	NjorogsKhroskyabs	ndvət⁵⁵				n d v ⁵⁵/ə t	ndvət⁵⁵	SOFT
4797	- n dʑ ⁵⁵/a ʔ m -	tib	3025	1725	soft	NjorogsKhroskyabs	ndʑaʔm⁵⁵		_1725		n dʑ ⁵⁵/a ʔ m	ndʑaʔm⁵⁵	SOFT
5410	k ɯ + - n - ⁿb - ɯ́/ɯ ʔ - - - - - -		624	1731 1726	soft	NgyaltsuZbu	kɯ-nⁿbɯ́ʔ				k ɯ + n ⁿb ɯ́/ɯ ʔ	kɯ-nⁿbɯ́ʔ	_soft SOFT
5695	- n dʑ ³¹/a - m ⁵⁵/ə	tib	3131	1725	soft	Zlarong	ndʑa31mə55		_1725		n dʑ ³¹/a m ⁵⁵/ə	ndʑa31mə55	SOFT
5920	k ə + - nɟ - a - m -	tib	3176	1731 1725	soft	KyomkyoSitu	kənɟam		1731 _1725		k ə + nɟ a m	kənɟam	_soft SOFT
6579	- n d v - ə - - - - - - -		624	1726	soft	MazurStau	ndvə				n d v ə	ndvə	SOFT
#
858	r d ɤ s t a ʁ	tib	2628	1759	stone (of fruit)	Japhug	rdɤstaʁ		_1759		r d ɤ s t a ʁ	rdɤstaʁ	STONE
1489	r v ə́/ə		634	1768	stone (of fruit)	WobziKhroskyabs	rvə́				r v ə́/ə	rvə́	STONE
1602	v ʑ ¹³/ʌ		641	1769	stone (of fruit)	Zhaba	vʑʌ¹³	24813			v ʑ ¹³/ʌ	vʑʌ¹³	STONE
2121	n ɖʐ ³³/ɐ b ⁵⁵/u	tib	2748	1762	stone (of fruit)	MuyaKangding	ndʐɐ³³bu⁵⁵	22637	_1762		n ɖʐ ³³/ɐ b ⁵⁵/u	ndʐɐ³³bu⁵⁵	STONE
2562	n ɖʐ ʌ b ²/u	tib	2804	1762	stone (of fruit)	MenyaGao	2ndʐʌbu		_1762		n ɖʐ ʌ b ²/u	2ndʐʌbu	STONE
2923	ɕ ⁵⁵/e t y ⁵⁵/e ʃ ⁵⁵/ə r ⁵⁵/ə		632	1758	stone (of fruit)	QueyuXinlong	ɕe⁵⁵tye⁵⁵ʃə⁵⁵rə⁵⁵	20196			ɕ ⁵⁵/e t y ⁵⁵/e ʃ ⁵⁵/ə r ⁵⁵/ə	ɕe⁵⁵tye⁵⁵ʃə⁵⁵rə⁵⁵	STONE
3308	p ə l i		639	1765	stone (of fruit)	QueyuPubarong	pəli				p ə l i	pəli	STONE
3465	ɣ z b j ə́/ə m		640	1767	stone (of fruit)	SiyuewuKhroskyabs	ɣzbjə́m	38883			ɣ z b j ə́/ə m	ɣzbjə́m	STONE
3781	u + - ɕ n ê/e -		631	1754 1755	stone (of fruit)	BragbarSitu	u-ɕnê				u + ɕ n ê/e	u-ɕnê	_stone STONE
4397	- - - - - ɕ ³³/ɛ r ⁵³/ə		632	1758	stone (of fruit)	GuanyinqiaoKhroskyabs	ɕɛ³³rə⁵³				ɕ ³³/ɛ r ⁵³/ə	ɕɛ³³rə⁵³	STONE
4707	⁵⁵/e s n ⁵⁵/e -		631	1755	stone (of fruit)	NjorogsKhroskyabs	e⁵⁵sne⁵⁵				⁵⁵/e s n ⁵⁵/e	e⁵⁵sne⁵⁵	STONE
4879	r v ⁵⁵/i		634	1768	stone (of fruit)	NjorogsKhroskyabs	rvi⁵⁵				r v ⁵⁵/i	rvi⁵⁵	STONE
5527	t ə + - s n é/e ʔ		631	1763 1755	stone (of fruit)	NgyaltsuZbu	tə-snéʔ				t ə + s n é/e ʔ	tə-snéʔ	_stone STONE
5628	kʰ ³¹/ã tsʰ ⁵³/a		642	1770	stone (of fruit)	Zlarong	khã31tsha53				kʰ ³¹/ã tsʰ ⁵³/a	khã31tsha53	STONE
6582	r qʰ ə r qʰ æ - -		637	1756	stone (of fruit)	MazurStau	rqʰərqʰæ				r qʰ ə r qʰ æ	rqʰərqʰæ	STONE
#
218	s a m u cʰ e		646	1775	straight	Bantawa	samucʰe				s a m u cʰ e	samucʰe	STRAIGHT
342	ɖʐ o ŋ ɖʐ o ŋ	tib	2563	1778	straight	Daofu	dʐoŋ dʐoŋ	19759	_1778		ɖʐ o ŋ ɖʐ o ŋ	dʐoŋ dʐoŋ	STRAIGHT
613	a - s t - u - - - - - - -		643	1777	straight	Japhug	astu	10224			a s t u	astu	STRAIGHT
978	- - - t w u̙ - - - - - - -		643	1777	straight	Tangut	twu.	38069			t w u̙	twu.	STRAIGHT
1299	- - s t - û - - - - - - -		643	1777	straight	WobziKhroskyabs	stû	31754			s t û	stû	STRAIGHT
1603	ʈʂ ³³/u ʈʂ ⁵⁵/u	tib	2674	1778	straight	Zhaba	tʂu³³tʂu⁵⁵	23780	_1778		ʈʂ ³³/u ʈʂ ⁵⁵/u	tʂu³³tʂu⁵⁵	STRAIGHT
1866	k ɑ + - - s t - o - - - - - - -		643	1781 1777	straight	MaerkangrGyalrong	kɑ sto	18019			k ɑ + s t o	kɑ sto	_straight STRAIGHT
2122	- - - t - ³³/ə̙ - - - t ⁵³/ə̙ - -		643	1777	straight	MuyaKangding	tə̱³³tə̱⁵³	23020			t ³³/ə̙ t ⁵³/ə̙	tə̱³³tə̱⁵³	STRAIGHT
2601	- - - t - ʌ̙ - - - t ²/ʌ̙ - -		643	1777	straight	MenyaGao	2tʌ̠tʌ̠				t ʌ̙ t ²/ʌ̙	2tʌ̠tʌ̠	STRAIGHT
2681	pʰ r ²/o ŋ ʔ		648	1784	straight	OldBurmese	phro₂ṅʔ	31111			pʰ r ²/o ŋ ʔ	phro₂ṅʔ	STRAIGHT
2924	- - s t - ⁵⁵/o - - s t ³³/o - -		643	1777	straight	QueyuXinlong	sto⁵⁵sto³³	23060			s t ⁵⁵/o s t ³³/o	sto⁵⁵sto³³	STRAIGHT
3250	- - x t - o - - - t u - -		643	1777	straight	QueyuPubarong	ˣtotu				x t o t u	ˣtotu	STRAIGHT
3466	- - s t - û - - - - - - -		643	1777	straight	SiyuewuKhroskyabs	stû	38884			s t û	stû	STRAIGHT
3782	o + - - s t - ô/o - - - - - - -		643	1776 1777	straight	BragbarSitu	o-stô				o + s t ô/o	o-stô	_straight STRAIGHT
4085	- l - tʰ - ə - - - - - - -		643	1777	straight	Geshiza	ltʰə				l tʰ ə	ltʰə	STRAIGHT
4398	- - s t - ⁵³/u - - - - - - -		643	1777	straight	GuanyinqiaoKhroskyabs	stu⁵³				s t ⁵³/u	stu⁵³	STRAIGHT
4935	- - s t - ⁵⁵/u - - - - - - -		643	1777	straight	NjorogsKhroskyabs	stu⁵⁵				s t ⁵⁵/u	stu⁵⁵	STRAIGHT
5007	ɐ - s t - o - ʔ - - - - -		643	1777	straight	Tshobdun	ɐstoʔ				ɐ s t o ʔ	ɐstoʔ	STRAIGHT
5291	k - ɑ + - - s t - ú/u ɣ ʔ - - - - -		643	1781 1777	straight	NgyaltsuZbu	k-ɑstúɣʔ				k ɑ + s t ú/u ɣ ʔ	k-ɑstúɣʔ	_straight STRAIGHT
5836	x ⁵⁵/ẽ m b ⁵³/u		649	1789	straight	Zlarong	xẽ55mbu53				x ⁵⁵/ẽ m b ⁵³/u	xẽ55mbu53	STRAIGHT
6583	- - r t - ə - - - - - kʰ æ		643	1777	straight	MazurStau	rtəkʰæ				r t ə kʰ æ	rtəkʰæ	STRAIGHT
#
95	i n a + n a m +		651	1800 1801	ten	Bantawa	ina-nam-				i n a + n a m +	ina-nam-	TEN _ten
343	- - z - ʁ - a - - - - - -		650	1802	ten	Daofu	zʁa	19157			z ʁ a	zʁa	TEN
614	- - s - q - i - - - - - -		650	1802	ten	Japhug	sqi	10542			s q i	sqi	TEN
979	- - - - ɣ - a̙ - - - - - -		650	1802	ten	Tangut	ɣa.	38209			ɣ a̙	ɣa.	TEN
1300	- - s - j - ə̂/ə - - - - - -		650	1802	ten	WobziKhroskyabs	sjə̂	31757			s j ə̂/ə	sjə̂	TEN
1604	tsʰ ⁵⁵/ɿ -		655	1809	ten	Zhaba	tshɿ⁵⁵	21650			tsʰ ⁵⁵/ɿ	tshɿ⁵⁵	TEN
1867	- - ʃ - tʃ - ɛ - - - - - -		650	1802	ten	MaerkangrGyalrong	ʃtʃᴇ	17921			ʃ tʃ ɛ	ʃtʃᴇ	TEN
2123	- - - - tɕ u ⁵³/ə - - - - - -		650	1802	ten	MuyaKangding	tɕuə⁵³	22883			tɕ u ⁵³/ə	tɕuə⁵³	TEN
2124	ɦ ³³/æ - - k - ⁵³/ø - - - - - -		650	1802	ten	MuyaKangding	ɦæ³³kø⁵³	22882			ɦ ³³/æ k ⁵³/ø	ɦæ³³kø⁵³	TEN
2538	ɦ ɛ - - k - ²/o - - - - - -		650	1802	ten	MenyaGao	2ɦɛko-				ɦ ɛ k ²/o	2ɦɛko-	TEN
2682	t a + - - - - cʰ - a y - - - - -		650	1808 1802	ten	OldBurmese	ta◦chay	31112			t a + cʰ a y	ta◦chay	_ten TEN
2925	- - ʂ - q - ¹³/a - - - r d ⁵⁵/ə		650	1802	ten	QueyuXinlong	ʂqa¹³rdə⁵⁵	24471			ʂ q ¹³/a r d ⁵⁵/ə	ʂqa¹³rdə⁵⁵	TEN
3109	æ t u ʐ o		654	1810	ten	QueyuPubarong	ætuʐo				æ t u ʐ o	ætuʐo	TEN
3467	- - s - j - ə̂/ə - - d - - -		650	1802	ten	SiyuewuKhroskyabs	sjə̂d	38885			s j ə̂/ə d	sjə̂d	TEN
3783	- - z - ɟ - ē/e - - - - - -		650	1802	ten	BragbarSitu	zɟē				z ɟ ē/e	zɟē	TEN
4302	- - z - ɣ - a - - - - - -		650	1802	ten	Geshiza	zɣa				z ɣ a	zɣa	TEN
4399	- - s - ɣ - ⁵³/ə - - - - - -		650	1802	ten	GuanyinqiaoKhroskyabs	sɣə⁵³				s ɣ ⁵³/ə	sɣə⁵³	TEN
4911	- - s - ɣ - ⁵⁵/i - - - - - -		650	1802	ten	NjorogsKhroskyabs	sɣi⁵⁵				s ɣ ⁵⁵/i	sɣi⁵⁵	TEN
5446	- - s ɐ ʁ - ɐ́/ɐ - ʔ - - - -		650	1802	ten	NgyaltsuZbu	sɐʁɐ́ʔ				s ɐ ʁ ɐ́/ɐ ʔ	sɐʁɐ́ʔ	TEN
5592	- ⁵⁵/a - - k - ⁵⁵/õ - - - - - -		650	1802	ten	Zlarong	a55kõ55				⁵⁵/a k ⁵⁵/õ	a55kõ55	TEN
5921	- - z - ɟ - i - - - - - -		650	1802	ten	KyomkyoSitu	zɟi				z ɟ i	zɟi	TEN
6584	- - z - ʁ - ɑ - - - - - -		650	1802	ten	MazurStau	zʁɑ				z ʁ ɑ	zʁɑ	TEN
#
175	m o		658	1824	that	Bantawa	mo				m o	mo	THAT
615	n - ɯ - - -		659	1827	that	Japhug	nɯ	10595			n ɯ	nɯ	THAT
980	tʰ j ¹/a - -		657	1833	that	Tangut	thja¹	10599			tʰ j ¹/a	thja¹	THAT
982	tɕʰ j u		662	1836	that	Tangut	tɕhju	38210			tɕʰ j u	tɕhju	THAT
1301	æ - t ə̂/ə		656	1829	that	WobziKhroskyabs	ætə̂	31758			æ t ə̂/ə	ætə̂	THAT
1868	w u + - - t ə		656	1826 1829	that	MaerkangrGyalrong	wu tə	17986			w u + t ə	wu tə	_that THAT
2489	ts ¹/ə		661	1830	that	MenyaGao	1tsə				ts ¹/ə	1tsə	THAT
2683	tʰ - u i w		657	1833	that	OldBurmese	thuiw	31113			tʰ u i w	thuiw	THAT
2926	ts ¹³/ɛ		661	1830	that	QueyuXinlong	tsɛ¹³	20572			ts ¹³/ɛ	tsɛ¹³	THAT
3309	tʰ - ə - -		657	1833	that	QueyuPubarong	tʰə				tʰ ə	tʰə	THAT
3468	æ - t ə̂/ə		656	1829	that	SiyuewuKhroskyabs	ætə̂	38886			æ t ə̂/ə	ætə̂	THAT
3784	m a		658	1824	that	BragbarSitu	ma				m a	ma	THAT
3785	m a + - - t ə		656	1824 1829	that	BragbarSitu	ˈmatə				m a + t ə	ˈmatə	_that THAT
4400	- ⁵⁵/ə + - - t ³³/ə		656	1826 1829	that	GuanyinqiaoKhroskyabs	ə⁵⁵tə³³				⁵⁵/ə + t ³³/ə	ə⁵⁵tə³³	_that THAT
4665	a ⁵⁵/i t ³³/i		656	1829	that	NjorogsKhroskyabs	ai⁵⁵ti³³				a ⁵⁵/i t ³³/i	ai⁵⁵ti³³	THAT
5421	n - ɐ v é/e ʔ		659	1827	that	NgyaltsuZbu	nɐvéʔ				n ɐ v é/e ʔ	nɐvéʔ	THAT
5789	tʰ - ⁵⁵/e - -		657	1833	that	Zlarong	the55				tʰ ⁵⁵/e	the55	THAT
5922	n d ə - - -		659	1827	that	KyomkyoSitu	ndə				n d ə	ndə	THAT
#
40	c ɨ k ɨ y a ŋ		666	1846	the ant	Bantawa	cɨkɨyaŋ				c ɨ k ɨ y a ŋ	cɨkɨyaŋ	THE
344	- s kʰ - r - o - - -		663	1848	the ant	Daofu	skhro	25256			s kʰ r o	skhro	THE
616	- - q - r - o - - -		663	1848	the ant	Japhug	qro	25807			q r o	qro	THE
983	- - k - - j i - w r		663	1848	the ant	Tangut	kjiwr	38012			k j i w r	kjiwr	THE
1302	- s kʰ - r - ɑ̂/ɑ - ɣ -		663	1848	the ant	WobziKhroskyabs	skʰrɑ̂ɣ	31554			s kʰ r ɑ̂/ɑ ɣ	skʰrɑ̂ɣ	THE
1605	p ⁵⁵/o ʐ - ⁵⁵/o - - - -		665	1853	the ant	Zhaba	po⁵⁵ʐo⁵⁵	21390			p ⁵⁵/o ʐ ⁵⁵/o	po⁵⁵ʐo⁵⁵	THE
2125	ʈʂ u ²⁴/ɑ	tib	2749	1852	the ant	MuyaKangding	tʂuɑ²⁴	17927	_1852		ʈʂ u ²⁴/ɑ	tʂuɑ²⁴	THE
2600	ʈʂ a̙ n ²/i	tib	2808	1852	the ant	MenyaGao	2tʂa̠ni		_1852		ʈʂ a̙ n ²/i	2tʂa̠ni	THE
2927	p ⁵⁵/u r y ⁵⁵/e - ⁵⁵/a ȵ̊ ⁵⁵/e		665	1853	the ant	QueyuXinlong	pu⁵⁵rye⁵⁵a⁵⁵ȵ̥e⁵⁵	20185			p ⁵⁵/u r y ⁵⁵/e ⁵⁵/a ȵ̊ ⁵⁵/e	pu⁵⁵rye⁵⁵a⁵⁵ȵ̥e⁵⁵	THE
3115	b u ʐ w ə - - - -		665	1853	the ant	QueyuPubarong	buʐwə				b u ʐ w ə	buʐwə	THE
3469	- s kʰ - r - ô/o - ɣ -		663	1848	the ant	SiyuewuKhroskyabs	skʰrôɣ	38887			s kʰ r ô/o ɣ	skʰrôɣ	THE
3786	- - kʰ a r - ɐ̄/ɐ - k -		663	1848	the ant	BragbarSitu	kharɐ̄k				kʰ a r ɐ̄/ɐ k	kharɐ̄k	THE
4208	- s kʰ - r - ə - u -		663	1848	the ant	Geshiza	skʰrəu				s kʰ r ə u	skʰrəu	THE
4402	- s kʰ - r - ɑ - ⁵³/ɣ -		663	1848	the ant	GuanyinqiaoKhroskyabs	skʰrɑɣ⁵³				s kʰ r ɑ ⁵³/ɣ	skʰrɑɣ⁵³	THE
4807	n - kʰ ³³/o r - o - ⁵⁵/q -		663	1848	the ant	NjorogsKhroskyabs	nkʰo³³roq⁵⁵				n kʰ ³³/o r o ⁵⁵/q	nkʰo³³roq⁵⁵	THE
5404	- - kʰ - r - ô/o - ʁ -		663	1848	the ant	NgyaltsuZbu	khrôʁ				kʰ r ô/o ʁ	khrôʁ	THE
5815	ʈʂ ³¹/æ tsʰ ⁵³/ã	tib	3161	1852	the ant	Zlarong	tʂæ31tshã53		_1852		ʈʂ ³¹/æ tsʰ ⁵³/ã	tʂæ31tshã53	THE
5923	- - kʰ o r - o ʔ k -		663	1848	the ant	KyomkyoSitu	khoroʔk				kʰ o r o ʔ k	khoroʔk	THE
6585	- s kʰ - r - o - - -		663	1848	the ant	MazurStau	skʰro				s kʰ r o	skʰro	THE
#
617	t ɯ + - - - - - p j a χ p a - - - - - - - - - - - -		667	1870 1872	the armpit	Japhug	tɯ-pjaχpa	25808			t ɯ + p j a χ p a	tɯ-pjaχpa	_the THE
1303	- - - - - p j a - - - q ǽ/æ i - - - - - - - v i		667	1872	the armpit	WobziKhroskyabs	pjaqǽivi	31555			p j a q ǽ/æ i v i	pjaqǽivi	THE
2126	j ³³/ɐ - - - - n ⁵⁵/æ β ³⁵/a		670	1884	the armpit	MuyaKangding	jɐ³³næ⁵⁵βa³⁵	24340			j ³³/ɐ n ⁵⁵/æ β ³⁵/a	jɐ³³næ⁵⁵βa³⁵	THE
2579	- - - - - - - - - - - q ə̙ - - - - - - l ə̙ v ²/a̙		667	1872	the armpit	MenyaGao	2qʌ̠lʌ̠æ̠				q ə̙ l ə̙ v ²/a̙	2qʌ̠lʌ̠æ̠	THE
2685	kʰ y o₁/o ŋ ɦ		671	1881	the armpit	OldBurmese	khyo₁ṅḥ	31115			kʰ y o₁/o ŋ ɦ	khyo₁ṅḥ	THE
2928	- r dʑ ¹³/a - - - - - - - q ⁵⁵/a - - - - - - l ³³/i - -		667	1872	the armpit	QueyuXinlong	rdʑa¹³qa⁵⁵li³³	19976			r dʑ ¹³/a q ⁵⁵/a l ³³/i	rdʑa¹³qa⁵⁵li³³	THE
3127	- - dʑ ə - - - - - - - ɢ ə - - - - - - l i w ə		667	1872	the armpit	QueyuPubarong	dʑəɢəliwə				dʑ ə ɢ ə l i w ə	dʑəɢəliwə	THE
3470	- - - - - p j æ - - - q ə̂/ə - - - - - - - - v i		667	1872	the armpit	SiyuewuKhroskyabs	pjæqə̂vi	38888			p j æ q ə̂/ə v i	pjæqə̂vi	THE
3787	t a + - - - - r p j a - - - k ɐ̂/ɐ j - - - - - - - - -		667	1870 1872	the armpit	BragbarSitu	ta-rpjakɐ̂j				t a + r p j a k ɐ̂/ɐ j	ta-rpjakɐ̂j	_the THE
4403	- - - - - p j ³³/a - - - q ³³/ə - - - - - - - - v ⁵³/i		667	1872	the armpit	GuanyinqiaoKhroskyabs	pja³³qə³³vi⁵³				p j ³³/a q ³³/ə v ⁵³/i	pja³³qə³³vi⁵³	THE
4834	- - - - - p j ⁵⁵/a - - - qʰ o - ³³/q - - - - - - - -		667	1872	the armpit	NjorogsKhroskyabs	pja⁵⁵qʰoq³³				p j ⁵⁵/a qʰ o ³³/q	pja⁵⁵qʰoq³³	THE
5528	t ə + - - - - - - - - - - - q ə - - c ə l ə́/ə l i - -		667	1870 1872	the armpit	NgyaltsuZbu	tə-qəcələ́li				t ə + q ə c ə l ə́/ə l i	tə-qəcələ́li	_the THE
5596	ɕ ³¹/ã t ⁵⁵/ə k ³¹/ɔ k ³¹/ɔ		672	1886	the armpit	Zlarong	ɕã31tə55kɔ31kɔ31				ɕ ³¹/ã t ⁵⁵/ə k ³¹/ɔ k ³¹/ɔ	ɕã31tə55kɔ31kɔ31	THE
5924	t a pʰ i s p o		669	1877	the armpit	KyomkyoSitu	taphispo				t a pʰ i s p o	taphispo	THE
6586	m - - - - pʰ j ɛ - - - k ə - - - - - - - - v ə		667	1872	the armpit	MazurStau	mpʰjɛkəvə				m pʰ j ɛ k ə v ə	mpʰjɛkəvə	THE
#
241	tʰ a b u t		676	1898	the ashes	Bantawa	tʰabut				tʰ a b u t	tʰabut	THE
618	tʰ ɤ f k ɤ l ɤ ɣ i		678	1901	the ashes	Japhug	tʰɤfkɤlɤɣi	207			tʰ ɤ f k ɤ l ɤ ɣ i	tʰɤfkɤlɤɣi	THE
859	s m ɯ ʁ r ɤ t		684	1909	the ashes	Japhug	smɯʁrɤt				s m ɯ ʁ r ɤ t	smɯʁrɤt	THE
984	- ɬ j w ¹/a̙		674	1907	the ashes	Tangut	lhjwạ¹	211			ɬ j w ¹/a̙	lhjwạ¹	THE
2390	m ɔ̙ ʐ ¹/a̙		679	1902	the ashes	MenyaGao	1mɔ̠ʐa̠				m ɔ̙ ʐ ¹/a̙	1mɔ̠ʐa̠	THE
3139	- - - - - - ʰpʰ - ī		675	7838	the ashes	QueyuPubarong	ʰpʰī				ʰpʰ ī	ʰpʰī	THE
3471	x ç í		682	1906	the ashes	SiyuewuKhroskyabs	xçí	38889			x ç í	xçí	THE
3472	χ j í		685	1911	the ashes	SiyuewuKhroskyabs	χjí	38890			χ j í	χjí	THE
3788	r d ə̂/ə -	tib	2929	1899	the ashes	BragbarSitu	rdə̂		_1899		r d ə̂/ə	rdə̂	THE
4404	ʁ m ³³/ə ɣ n ⁵⁵/u		677	1900	the ashes	GuanyinqiaoKhroskyabs	ʁmə³³ɣnu⁵⁵				ʁ m ³³/ə ɣ n ⁵⁵/u	ʁmə³³ɣnu⁵⁵	THE
4696	ɕ ŋ e ⁵³/r		681	1904	the ashes	NjorogsKhroskyabs	ɕŋer⁵³				ɕ ŋ e ⁵³/r	ɕŋer⁵³	THE
4846	r d ⁵⁵/u s	tib	3029	1899	the ashes	NjorogsKhroskyabs	rdus⁵⁵		_1899		r d ⁵⁵/u s	rdus⁵⁵	THE
4891	ʁ m ³³/u d o ⁵⁵/m		686	1912	the ashes	NjorogsKhroskyabs	ʁmu³³dom⁵⁵				ʁ m ³³/u d o ⁵⁵/m	ʁmu³³dom⁵⁵	THE
4901	s cç ⁵⁵/a kʰ ³³/a χ pʰ j ³³/i		675	7838	the ashes	NjorogsKhroskyabs	scça⁵⁵kʰa³³χpʰji³³				s cç ⁵⁵/a kʰ ³³/a χ pʰ j ³³/i	scça⁵⁵kʰa³³χpʰji³³	THE
5529	kʰ ɐ v l d ə j î		680	1903	the ashes	NgyaltsuZbu	khɐvldəjî				kʰ ɐ v l d ə j î	khɐvldəjî	THE
5683	n d ⁵⁵/ɔ tʂʰ ⁵⁵/ɔ		683	1908	the ashes	Zlarong	ndɔ55tʂhɔ55				n d ⁵⁵/ɔ tʂʰ ⁵⁵/ɔ	ndɔ55tʂhɔ55	THE
6587	f ɬ - - ɛ		674	1907	the ashes	MazurStau	fɬɛ				f ɬ ɛ	fɬɛ	THE
#
51	dʱ e ŋ		691	1916	the back	Bantawa	dʰeŋ				dʱ e ŋ	dʰeŋ	THE
619	t ɯ + m g - - ɯ r - - - -		688	1920 1921	the back	Japhug	tɯ-mgɯr	260			t ɯ + m g ɯ r	tɯ-mgɯr	_the THE
860	t ɯ + m g - - ɯ r - - - -		688	1920 1921	the back	Japhug	tɯ-mgɯr				t ɯ + m g ɯ r	tɯ-mgɯr	_the THE
1196	- g j w ²/ɨ r - - - -		688	1921	the back	Tangut	gjwɨr²				g j w ²/ɨ r	gjwɨr²	THE
1490	- - s k é/e -		687	1917	the back	WobziKhroskyabs	ské				s k é/e	ské	THE
2534	- g - - i - tsʰ ²/i - -		688	1921	the back	MenyaGao	2ɡitshi				g i tsʰ ²/i	2ɡitshi	THE
3130	- g - - o - - - d ə		688	1921	the back	QueyuPubarong	godə				g o d ə	godə	THE
3473	- - s k é/e -		687	1917	the back	SiyuewuKhroskyabs	ské	38891			s k é/e	ské	THE
3789	- - z g û -		687	1917	the back	BragbarSitu	zgû				z g û	zgû	THE
4193	r v æ qʰ i		692	1918	the back	Geshiza	rvæqʰi				r v æ qʰ i	rvæqʰi	THE
4405	v ⁵⁵/e s k ³³/e -		687	1917	the back	GuanyinqiaoKhroskyabs	ve⁵⁵ske³³				v ⁵⁵/e s k ³³/e	ve⁵⁵ske³³	THE
4958	v g - - ⁵³/u r - - - -		688	1921	the back	NjorogsKhroskyabs	vgur⁵³				v g ⁵³/u r	vgur⁵³	THE
5135	- qʰ u - - - -		690	1926	the back	Tshobdun	qʰu				qʰ u	qʰu	THE
5530	t ə + - - z g ɐ́/ɐ ʔ		687	1920 1917	the back	NgyaltsuZbu	tə-zɡɐ́ʔ				t ə + z g ɐ́/ɐ ʔ	tə-zɡɐ́ʔ	_the THE
5740	p ⁵⁵/u		693	1925	the back	Zlarong	pu55				p ⁵⁵/u	pu55	THE
5925	t a + - - z g ə n		687	1920 1917	the back	KyomkyoSitu	tazgən				t a + z g ə n	tazgən	_the THE
5926	t ə + ŋ kʰ u ʔ - - -		689	1920 1926	the back	KyomkyoSitu	təŋkhuʔ				t ə + ŋ kʰ u ʔ	təŋkhuʔ	THE _the
6588	- qʰ o - s t o		690	1926	the back	MazurStau	qʰosto				qʰ o s t o	qʰosto	THE
#
217	s a m b a		696	1937	the bamboo	Bantawa	samba				s a m b a	samba	THE
346	ʁ ɮ - - ə - - -		694	1939	the bamboo	Daofu	ʁɮə	18839			ʁ ɮ ə	ʁɮə	THE
620	- ɟ - - u - - -		694	1939	the bamboo	Japhug	ɟu	25809			ɟ u	ɟu	THE
985	- ɬ j - u̙ - - -		694	1939	the bamboo	Tangut	lhju.	38050			ɬ j u̙	lhju.	THE
1304	ʁ j - - û - - -		694	1939	the bamboo	WobziKhroskyabs	ʁjû	31557			ʁ j û	ʁjû	THE
1607	- m ⁵⁵/ɛ		695	1947	the bamboo	Zhaba	mɛ⁵⁵	21412			m ⁵⁵/ɛ	mɛ⁵⁵	THE
1871	- ɟj - - o - - -		694	1939	the bamboo	MaerkangrGyalrong	ɟjo	17613			ɟj o	ɟjo	THE
2127	r ³³/ə m b ⁵⁵/ə tɕ ⁵³/ø		698	1943	the bamboo	MuyaKangding	rə³³mbə⁵⁵tɕø⁵³	22645			r ³³/ə m b ⁵⁵/ə tɕ ⁵³/ø	rə³³mbə⁵⁵tɕø⁵³	THE
2575	ɲ u m ²/ɛ	tib	2805	1942	the bamboo	MenyaGao	2ɲumɛ		_1942		ɲ u m ²/ɛ	2ɲumɛ	THE
2686	v ā/a ɦ		699	1946	the bamboo	OldBurmese	vāḥ	31116			v ā/a ɦ	vāḥ	THE
2929	l m ⁵⁵/a		695	1947	the bamboo	QueyuXinlong	lma⁵⁵	20206			l m ⁵⁵/a	lma⁵⁵	THE
3155	- m ā/a		695	1947	the bamboo	QueyuPubarong	mā				m ā/a	mā	THE
3474	ʁ j - - û - - -		694	1939	the bamboo	SiyuewuKhroskyabs	ʁjû	38892			ʁ j û	ʁjû	THE
3790	- ɟ - - ō/o - - -		694	1939	the bamboo	BragbarSitu	ɟō				ɟ ō/o	ɟō	THE
4296	w ʑ - - ə - - -		694	1939	the bamboo	Geshiza	wʑə				w ʑ ə	wʑə	THE
4406	ʁ j - - ⁵³/u - - -		694	1939	the bamboo	GuanyinqiaoKhroskyabs	ʁju⁵³				ʁ j ⁵³/u	ʁju⁵³	THE
4888	ʁ j - - ⁵⁵/i - s ³³/e		694	1939	the bamboo	NjorogsKhroskyabs	ʁji⁵⁵se³³				ʁ j ⁵⁵/i s ³³/e	ʁji⁵⁵se³³	THE
5091	- ⁿɟ - w ɛ ʔ - -		694	1939	the bamboo	Tshobdun	ⁿɟwɛʔ				ⁿɟ w ɛ ʔ	ⁿɟwɛʔ	THE
5531	ɣ ɟ - - ú/u ʔ - -		694	1939	the bamboo	NgyaltsuZbu	ɣɟúʔ				ɣ ɟ ú/u ʔ	ɣɟúʔ	THE
