ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE
1387	WobziKhroskyabs	the sky	mə̂rgo	mə̂rgo	m ə̂/ə + r g o		4376 8159	499	m ə̂/ə - - - + r - g o		31736	
1388	WobziKhroskyabs	the smoke	mkʰə́	mkʰə́	m + kʰ ə́/ə		8261 4403	68	m - + - - kʰ ə́/ə - - - - -		31740	
1389	WobziKhroskyabs	the snake	bə̂rə	bə̂rə	b ə̂/ə r ə		7814	70	- b ə̂/ə r ə - -		31742	
1390	WobziKhroskyabs	the snow	kʰɑvɑ	kʰɑvɑ	kʰ ɑ v ɑ̂/ɑ	_4455	4455	131	- kʰ ɑ v ɑ̂/ɑ	tib	31743	
1391	WobziKhroskyabs	the son	zi	zi	z î/i		4481	73	z - î/i		31745	
1392	WobziKhroskyabs	the sparrow	pjizi	pjizi	p j i + z í/i		4508 4505	3599	p j i - - + z - í/i		31746	
1393	WobziKhroskyabs	the spider	qʰæsɲá	qʰæsɲá	qʰ æ s ɲ á/a		7843	1756	qʰ æ s ɲ - á/a - -		31747	
1394	WobziKhroskyabs	the star	zgrə̂	zgrə̂	z g r ə̂/ə	_4556	4551	1073	z - - g r - ə̂/ə - -	tib	31750	
1395	WobziKhroskyabs	the stick	lɑɣlɑɣ	lɑɣlɑɣ	l ɑ ɣ l ɑ̂/ɑ ɣ		4585	3779	l ɑ ɣ l ɑ̂/ɑ ɣ		31752	
1396	WobziKhroskyabs	the stone (a piece of)	rgəmé	rgəmé	r g ə + m é/e		4599 4600	3598	r g ə + m é/e		31753	
1397	WobziKhroskyabs	the sun	jnə́	jnə́	j + n ə́/ə		8454 4627	83	j + n - ə́/ə - -		31755	
1398	WobziKhroskyabs	the tail	rŋɑmɑ	rŋɑmɑ	r ŋ ɑ m ɑ̂/ɑ	_4653	4653	914	r ŋ ɑ m ɑ̂/ɑ	tib	31756	
1399	WobziKhroskyabs	the thigh	lpʰəlá	lpʰəlá	l pʰ ə l á/a		4696	3781	l pʰ ə l á/a -		31761	
1400	WobziKhroskyabs	the thunder	zgre	zgre	z g r ê/e		4710	3168	z g r ê/e		31768	
1401	WobziKhroskyabs	the tiger	stâ	stâ	s t â/a	_4733	4733	1105	s t â/a -	tib	31769	
1402	WobziKhroskyabs	the tongue	sɲi	sɲi	s ɲ í/i		4757	3784	s ɲ í/i		31772	
1403	WobziKhroskyabs	the tooth (front)	fɕi	fɕi	f ɕ î/i		4781	10482	f ɕ - - - î/i - -		31773	
1404	WobziKhroskyabs	the tree	sæpʰô	sæpʰô	s æ + pʰ ô/o		4806 4808	3396	s - æ - + - pʰ ô/o -		31774	
1405	WobziKhroskyabs	the water	jdə̂	jdə̂	j d ə̂/ə		4835	29782	j d ə̂/ə -		31779	
1406	WobziKhroskyabs	the wheat	ʁjə̂	ʁjə̂	ʁ j ə̂/ə		4859	3234	ʁ j - ə̂/ə		31783	
1407	WobziKhroskyabs	the wife	rjɑ́v	rjɑ́v	r j ɑ́/ɑ v		4880	2935	r j ɑ́/ɑ - v		31787	
1408	WobziKhroskyabs	the wind	χpə̂rju	χpə̂rju	χ p ə̂/ə r j u		4914	3394	χ p ə̂/ə r j u -		31788	
1409	WobziKhroskyabs	the wing	spʰjǽv	spʰjǽv	s pʰ j ǽ/æ v		4940	3786	s pʰ j ǽ/æ v		31789	
1410	WobziKhroskyabs	the wolf	spjʊ̂ŋkəɣ	spjʊ̂ŋkəɣ	s p j ʊ̂/ʊ ŋ k ə ɣ	_4963	4963	741	s p j ʊ̂/ʊ ŋ k ə ɣ	tib	31791	
1411	WobziKhroskyabs	the woman	məlé	məlé	m ə + l é/e		4986 8119	29768	m - ə - - + l é/e		31792	
1412	WobziKhroskyabs	the wood (material)	se	se	s ê/e		5013	8175	s - ê/e -		31793	
1413	WobziKhroskyabs	the year	djú	djú	d j ú/u		5081	4196	d j - - ú/u - -		31795	
1414	WobziKhroskyabs	there	ætə̂gə	ætə̂gə	æ t ə̂/ə g ə		7751	5105	æ - t ə̂/ə - g ə - -		31759	
1415	WobziKhroskyabs	thick	jnjɑɣ	jnjɑɣ	j + n + j ɑ̂/ɑ ɣ		8478 8479 5132	977	j + n + j - ɑ̂/ɑ - - ɣ - - - -		31760	
1416	WobziKhroskyabs	thin (object)	ʁɴji	ʁɴji	ʁ ɴ j í/i		5169	3782	ʁ ɴ j í/i		31762	
1417	WobziKhroskyabs	thou [second person singular]	nu	nu	n û/u		5189	10475	n - û/u - -		31765	
1418	WobziKhroskyabs	three	çsə̂m	çsə̂m	ç s ə̂/ə m		7832	283	ç - s ə̂/ə m - -		31766	
1419	WobziKhroskyabs	to be alive	çsu	çsu	ç s û/u		7769	280	ç s - - û/u - - - - -		31559	
1420	WobziKhroskyabs	to bite	nrcʰɑ́	nrcʰɑ́	n r cʰ ɑ́/ɑ		5263	1933	n - r cʰ - ɑ́/ɑ - - - - -		31564	
1421	WobziKhroskyabs	to blow (of wind)	χpə̂rju vi	χpə̂rju vi	χ p ə̂/ə r j u + v î/i		5310 5311	3736	χ p ə̂/ə r j u + v î/i		31567	
1422	WobziKhroskyabs	to burn [intransitive]	nɑr	nɑr	n ɑ̂/ɑ r		5345	3619	n - - ɑ̂/ɑ ?r		31572	
1423	WobziKhroskyabs	to buy	jdə̂	jdə̂	j d ə̂/ə		5407	2333	j - d - ə̂/ə -		31573	
1424	WobziKhroskyabs	to chew	χtɕâχtɕa	χtɕâχtɕa	χ tɕ â/a χ tɕ a		5433	2742	- - χ tɕ â/a χ tɕ a - - -		31574	
1425	WobziKhroskyabs	to come	vji	vji	v j î/i		5491	29780	- v - j î/i -		31578	
1426	WobziKhroskyabs	to count	çsə̂r	çsə̂r	ç s ə̂/ə r		5544	3738	ç s ə̂/ə r -		31580	
1427	WobziKhroskyabs	to cry (weep)	ʁbə̂	ʁbə̂	ʁ b ə̂/ə		5575	3086	ʁ b ə̂/ə - -		31581	
1428	WobziKhroskyabs	to die	sə̂	sə̂	s ə̂/ə		5654	163	s - ə̂/ə - -		31585	
1429	WobziKhroskyabs	to dig	vlâ	vlâ	v l â/a		8528	3223	v l - â/a -		31586	
1430	WobziKhroskyabs	to drink	tʰe	tʰe	tʰ ê/e		5711	2416	tʰ - ê/e - -		31590	
1431	WobziKhroskyabs	to eat	dzi	dzi	dz î/i		5737	3419	- dz - î/i - -		31597	
1432	WobziKhroskyabs	to fight	χtsʰətsʰə̂	χtsʰətsʰə̂	χ + tsʰ ə tsʰ ə̂/ə		5811 5808	3746	χ - + - tsʰ - ə - tsʰ ə̂/ə		31604	
1433	WobziKhroskyabs	to float	|æ-rgé|	|æ-rgé|	æ + r g é/e		5852 5841	3747	æ + r g é/e		31610	
1434	WobziKhroskyabs	to flow	|æ-rgé|	|æ-rgé|	æ + r g é/e		5878 5879	3748	æ + r g é/e		31611	
1435	WobziKhroskyabs	to fly (move through air)	jmbjə̂m	jmbjə̂m	j + m + b j ə̂/ə m		8190 8189 5887	10206	j - + m - + - - - b j ə̂/ə m -		31613	
1436	WobziKhroskyabs	to forget	lmə̂	lmə̂	l m ə̂/ə		5912	1575	l m - ə̂/ə - - -		31617	
1437	WobziKhroskyabs	to give	kʰɑ	kʰɑ	kʰ ɑ̂/ɑ		5959	2125	kʰ - - ɑ̂/ɑ -		31625	
1438	WobziKhroskyabs	to hear	sme	sme	s m ê/e		6008	3752	s m - ê/e		31636	
1439	WobziKhroskyabs	to hide (conceal)	spi	spi	s + p î/i		8423 6034	10246	s - + - p - î/i - -		31640	
1440	WobziKhroskyabs	to hold	ndʑe	ndʑe	n dʑ ê/e		6082	3754	( - - ) n dʑ - ê/e - - -		31642	
1441	WobziKhroskyabs	to hunt	rŋɑ́	rŋɑ́	r ŋ ɑ́/ɑ		8542	1455	r ŋ ɑ́/ɑ -		31649	
1442	WobziKhroskyabs	to kill	sɑ	sɑ	s ɑ̂/ɑ		6142	3125	s - ɑ̂/ɑ -		31654	
1443	WobziKhroskyabs	to knead	lne	lne	l + n ê/e		8493 6173	4197	l + n ê/e - - - -		31655	
1444	WobziKhroskyabs	to laugh	qʰǽ	qʰǽ	qʰ ǽ/æ		6223	2598	- qʰ ǽ/æ - - -		31661	
1445	WobziKhroskyabs	to learn	ndzé	ndzé	n + dz é/e		8438 6249	2623	n + - dz - - é/e - - - - - -		31663	
1446	WobziKhroskyabs	to lick	njá	njá	n + j á/a		8435 6287	10251	n + - - j - - á/a - - - -		31665	
1447	WobziKhroskyabs	to lie down	jə́v	jə́v	j ə́/ə v		7624	3291	j ə́/ə v		31666	
1448	WobziKhroskyabs	to marry (a man marries a woman)	ɲɑvɑ vi	ɲɑvɑ vi	ɲ ɑ v ɑ̂/ɑ + v î/i	_6343 6345	6343 6345	3759	ɲ ɑ v ɑ̂/ɑ + - - v î/i -	tib	31675	
1449	WobziKhroskyabs	to plant (vegetals, rice)	je	je	j ê/e		6388	722	- - - j - ê/e - -		31702	
1450	WobziKhroskyabs	to play	mbjavlâ	mbjavlâ	m b j a + v l â/a		7948 8538	3766	m b j a - - + v l â/a		31703	
1451	WobziKhroskyabs	to pull	rɕə̂	rɕə̂	r + ɕ ə̂/ə		6458 6453	2354	r - + - ɕ ə̂/ə		31704	
1452	WobziKhroskyabs	to push	nskʰɑ́ɣ	nskʰɑ́ɣ	n s kʰ ɑ́/ɑ ɣ		6492	3767	n s kʰ - ɑ́/ɑ ɣ		31705	
1453	WobziKhroskyabs	to reside (live)	rje	rje	r j ê/e		6512	3769	- r - j - ê/e -		31709	
1454	WobziKhroskyabs	to run	tʂʰʊ́ŋ lǽ	tʂʰʊ́ŋ lǽ	ʈʂʰ ʊ́/ʊ ŋ + l ǽ/æ	_6563 6564	6563 6564	3771	ʈʂʰ ʊ́/ʊ ŋ + - l ǽ/æ	ch	31717	
1455	WobziKhroskyabs	to scratch	nsprɑɣvɑ́ɣ	nsprɑɣvɑ́ɣ	n + s + p r ɑ ɣ v ɑ́/ɑ ɣ		8173 8175 8172	2403	n + s - + - p r ɑ ɣ - v ɑ́/ɑ ɣ		31721	
1456	WobziKhroskyabs	to see	vde	vde	v + d ê/e		8489 6629	2472	v + d - ê/e -		31723	
1457	WobziKhroskyabs	to shoot (an arrow)	lǽ	lǽ	l ǽ/æ		7813	2933	l ǽ/æ - -		31728	
1458	WobziKhroskyabs	to sing	tʂʰɑŋkó vi	tʂʰɑŋkó vi	ʈʂʰ ɑ ŋ k ó/o + v î/i	_6722 6704	6722 6704	3774	ʈʂʰ ɑ ŋ k ó/o + v - î/i	ch	31733	
1459	WobziKhroskyabs	to sleep	sŋə̂	sŋə̂	s ŋ ə̂/ə		6763	3775	s ŋ ə̂/ə		31737	
1460	WobziKhroskyabs	to smell (perceive odor) [transitive]	sme	sme	s m ê/e		6799	10548	s m ê/e		31739	
1461	WobziKhroskyabs	to sow (broadcast, scatter seeds)	tɕʰæ̂lɑɣ	tɕʰæ̂lɑɣ	tɕʰ æ̂/æ l ɑ ɣ		7893	3788	tɕʰ æ̂/æ l ɑ ɣ		31794	
1462	WobziKhroskyabs	to spit	stʰú ɲcô	stʰú ɲcô	s tʰ ú/u + ɲ c ô/o		6853 6854	3777	s tʰ ú/u - - + ɲ c ô/o		31748	
1463	WobziKhroskyabs	to stand	tɕʰə̂rɑ	tɕʰə̂rɑ	tɕʰ ə̂/ə + r ɑ		7767 8392	3778	tɕʰ ə̂/ə + r ɑ		31749	
1464	WobziKhroskyabs	to steal	fkə̂	fkə̂	f + k ə̂/ə		8495 6956	10464	f + - k - - ə̂/ə - - - -		31751	
1465	WobziKhroskyabs	to think (reflect)	ntsʰə̂	ntsʰə̂	n + tsʰ ə̂/ə		8443 8444	1903	n + tsʰ ə̂/ə - - -		31763	
1466	WobziKhroskyabs	to throw	ɲcô	ɲcô	ɲ + c ô/o		8417 7048	3783	ɲ + c - - ô/o -		31767	
1467	WobziKhroskyabs	to vomit	mpʰælʁá	mpʰælʁá	m pʰ æ + l ʁ á/a		7133 8184	736	m - - pʰ - æ - - - + l ʁ á/a		31777	
1468	WobziKhroskyabs	to walk	ftɕʰi	ftɕʰi	f + tɕʰ î/i		7165 7172	29781	f - + tɕʰ - î/i		31778	
1469	WobziKhroskyabs	to wipe	pjæ̂	pjæ̂	p j æ̂/æ		8533	3787	p j æ̂/æ		31790	
1470	WobziKhroskyabs	today	snə̂	snə̂	s n ə̂/ə		7256	29771	s n ə̂/ə -		31770	
1471	WobziKhroskyabs	tomorrow	fsəse	fsəse	f s ə s ê/e		7284	2832	f s - ə - s ê/e -		31771	
1472	WobziKhroskyabs	twenty	nɑsə	nɑsə	n ɑ̂/ɑ s ə		7312	2812	- - n - ɑ̂/ɑ - - s - - ə - -		31775	
1473	WobziKhroskyabs	two	jnæ̂	jnæ̂	j n æ̂/æ		7341	102	j - n - æ̂/æ - -		31776	
1474	WobziKhroskyabs	wet	lú	lú	l ú/u		7391	2479	- l ú/u - - -		31781	
1475	WobziKhroskyabs	what	tʰje	tʰje	tʰ j ê/e		7413	5949	- tʰ j ê/e -		31782	
1476	WobziKhroskyabs	where	ŋə̂lɑ	ŋə̂lɑ	ŋ ə̂/ə + l ɑ		7444 8053	2903	ŋ ə̂/ə + l ɑ		31784	
1477	WobziKhroskyabs	white	pʰrə̂m	pʰrə̂m	pʰ r ə̂/ə m		7471	10173	pʰ - r ə̂/ə - - m - - - -		31785	
1478	WobziKhroskyabs	who	sə̂	sə̂	s ə̂/ə		7495	2253	s - - ə̂/ə - -		31786	
1479	WobziKhroskyabs	yellow	ʁrjə̂ɣ	ʁrjə̂ɣ	ʁ + r ɲ ə̂/ə ɣ		8332 7540	3789	ʁ - + r ɲ ə̂/ə - ɣ - - - - -		31796	
1480	WobziKhroskyabs	yesterday	snə́ɣ	snə́ɣ	s n ə́/ə + ɣ		7579 7567	3790	s n - ə́/ə - + ɣ -		31797	
1481	WobziKhroskyabs	young	fɕize	fɕize	f ɕ î/i + z e		7602 7598	3112	f ɕ - - î/i + z e -		31799	
1482	WobziKhroskyabs	before	dʑə́ɣ	dʑə́ɣ	dʑ ə́/ə + ɣ		7642 8343	0	dʑ ə́/ə + ɣ			
1483	WobziKhroskyabs	few	tsɑqɑ	tsɑqɑ	ts ɑ̂/ɑ + q ɑ		497 8532	0	- ts - ɑ̂/ɑ - + q ɑ			
1484	WobziKhroskyabs	how	tʰjemɲi	tʰjemɲi	tʰ j ê + m ɲ i		7754 8002	0	- tʰ j ê - - + m ɲ i -			
1485	WobziKhroskyabs	other	kʰɑkʰɑ	kʰɑkʰɑ	kʰ ɑ kʰ ɑ̂		1323	0	kʰ ɑ kʰ ɑ̂			
1486	WobziKhroskyabs	painful	ŋə̂m	ŋə̂m	ŋ ə̂/ə m		1369	0	ŋ ə̂/ə m			
1487	WobziKhroskyabs	rotten (of fruits)	χtsə́	χtsə́	χ + ts ə́/ə		8415 1440	0	χ + ts - ə́/ə -			
1488	WobziKhroskyabs	sick	tʰæŋə̂m	tʰæŋə̂m	tʰ æ + ŋ ə̂/ə m		1625 1619	0	tʰ æ + - ŋ ə̂/ə m -			
1489	WobziKhroskyabs	stone (of fruit)	rvə́	rvə́	r v ə́/ə		1768	0	r v ə́/ə			
1490	WobziKhroskyabs	the back	ské	ské	s k é/e		1917	0	- - s k é/e			
1491	WobziKhroskyabs	the bark	rcʰvâ	rcʰvâ	r cʰ v â/a		1958	0	- - r cʰ - v â/a -			
1492	WobziKhroskyabs	the child	ɲadi	ɲadi	ɲ a + d í/i		8350 2185	0	ɲ a - + d í/i			
1493	WobziKhroskyabs	the day (opposed to night)	snə̂go	snə̂go	s n ə̂/ə + g o		2231 8105	0	s n ə̂/ə - + g o			
1494	WobziKhroskyabs	the fat (grease)	rtsʰə́	rtsʰə́	r tsʰ ə́/ə		8515	0	- - - r tsʰ ə́/ə - - -			
1495	WobziKhroskyabs	the girl	məlé	məlé	m ə + l é/e		2814 8245	0	- m - ə - - + l é/e			
1496	WobziKhroskyabs	the hair	rmə̂	rmə̂	r m ə̂/ə		2910	0	- - r m - ə̂/ə - -			
1497	WobziKhroskyabs	the intestines	vəvɑ́	vəvɑ́	v ə v ɑ́/ɑ		3214	0	- v - ə v ɑ́/ɑ			
1498	WobziKhroskyabs	the knife	bərzé	bərzé	b ə r + z é/e		3267 8000	0	b - - ə r + z é/e -			
1499	WobziKhroskyabs	the lightning	slɑ́ɣ	slɑ́ɣ	s l ɑ́/ɑ ɣ		3340	0	- s - l - ɑ́/ɑ ɣ			
1500	WobziKhroskyabs	the morning	nɑrinvse	nɑrinvse	n ɑ̂/ɑ + r i + n v s e		3548 8279 3547	0	n - ɑ̂/ɑ - - - + r i + n v s e			
1501	WobziKhroskyabs	the night	fɕǽr	fɕǽr	f ɕ ǽ/æ r		3811	0	f ɕ - - ǽ/æ r			
1502	WobziKhroskyabs	the night	rjɑɣ	rjɑɣ	r j ɑ̂/ɑ ɣ		3817	0	r j ɑ̂/ɑ ɣ -			
1503	WobziKhroskyabs	the noon	mtsæ̂r	mtsæ̂r	m ts æ̂/æ r		3852	0	m ts æ̂/æ r			
1504	WobziKhroskyabs	the person	vɟú	vɟú	v ɟ ú/u		3917	0	- v ɟ - - ú/u			
1505	WobziKhroskyabs	the roof	rbaʁu	rbaʁu	r b a + ʁ û/u		4079 7760	0	r b a + ʁ - û/u -			
1506	WobziKhroskyabs	the work	ntɕú	ntɕú	n tɕ ú/u		5045	0	n tɕ ú/u			
1507	WobziKhroskyabs	the worm	bə̂jo	bə̂jo	b ə̂/ə + j o		5054 5061	0	- - - b ə̂/ə + - j o			
1508	WobziKhroskyabs	to breathe	ɕəsʁæ̂i læ	ɕəsʁæ̂i læ	ɕ ə s ʁ æ̂/æ i + l æ		5331 5329	0	- ɕ ə s ʁ æ̂/æ i + l æ -			
1509	WobziKhroskyabs	to burn [transitive]	snɑ́d	snɑ́d	s + n ɑ́/ɑ r		8400 5378	0	s + n - - ɑ́/ɑ r			
1510	WobziKhroskyabs	to choose	χpâ	χpâ	χ p â/a	_5466	5466	0	χ p â/a	tib		
1511	WobziKhroskyabs	to climb	rʁə̂rʁɑ	rʁə̂rʁɑ	r ʁ ə̂/ə r ʁ ɑ		5476	0	- - r ʁ ə̂/ə r ʁ ɑ			
1512	WobziKhroskyabs	to cook	sʁæ̂i	sʁæ̂i	s + ʁ æ̂/æ i		8421 5523	0	s + ʁ - - æ̂/æ i -			
1513	WobziKhroskyabs	to cut	rvæ̂jæ	rvæ̂jæ	r v æ̂/æ + j æ		7755 5610	0	r v æ̂/æ + - - - - j æ -			
1514	WobziKhroskyabs	to cut	rpæ̂tsæ	rpæ̂tsæ	r p æ̂/æ + ts æ		7756 5604	0	- r p æ̂/æ + - ts æ - -			
1515	WobziKhroskyabs	to cut	pʰó	pʰó	pʰ ó/o		5611	0	pʰ ó/o - -			
1516	WobziKhroskyabs	to fall	χpʰɑ́ɣ	χpʰɑ́ɣ	χ pʰ ɑ́/ɑ ɣ		5765	0	χ pʰ ɑ́/ɑ ɣ			
1517	WobziKhroskyabs	to fear (be afraid)	nscə̂r	nscə̂r	n s c ə̂/ə r		5786	0	- - n s c - ə̂/ə r			
1518	WobziKhroskyabs	to freeze (intransitive)	rpʰə́m	rpʰə́m	r pʰ ə́/ə m		5939	0	r pʰ - ə́/ə m -			
1519	WobziKhroskyabs	to grow	ɴqʰrɑ́	ɴqʰrɑ́	ɴ qʰ r ɑ́/ɑ		5995	0	ɴ qʰ r ɑ́/ɑ -			
1520	WobziKhroskyabs	to hit	tsʰə̂	tsʰə̂	tsʰ ə̂/ə		6069	0	- tsʰ ə̂/ə			
1521	WobziKhroskyabs	to know	tsʰé	tsʰé	tsʰ é/e		8544	0	tsʰ - é/e - -			
1522	WobziKhroskyabs	to open	cʰô	cʰô	cʰ ô/o		6364	0	- cʰ - - ô/o -			
1523	WobziKhroskyabs	to rub	sə̂sə	sə̂sə	s ə̂/ə s ə		6531	0	- - - - - - - - s ə̂/ə - - - s ə -			
1524	WobziKhroskyabs	to say	rǽ	rǽ	r ǽ/æ		8439	0	r ǽ/æ - -			
1525	WobziKhroskyabs	to sew	tɕʰǽv	tɕʰǽv	tɕʰ ǽ/æ v		6653	0	tɕʰ ǽ/æ v			
1526	WobziKhroskyabs	to sit	rje	rje	r j ê/e		6736	0	r j ê/e -			
1527	WobziKhroskyabs	to split	rcʰə̂	rcʰə̂	r cʰ ə̂/ə		6878	0	- r cʰ ə̂/ə			
1528	WobziKhroskyabs	to squeeze	vdzɑr	vdzɑr	v dz ɑ̂/ɑ r		6899	0	- - v dz ɑ̂/ɑ - r			
1529	WobziKhroskyabs	to stab	rdzô	rdzô	r dz ô/o		6916	0	- r dz ô/o -			
1530	WobziKhroskyabs	to swell	jbə̂v	jbə̂v	j b ə̂/ə v		6985	0	j b ə̂/ə v			
1531	WobziKhroskyabs	to swim	ndʑá	ndʑá	n + dʑ á/a		8334 6997	0	n - + dʑ - á/a - - - -			
1532	WobziKhroskyabs	to tie (together)	rcʰe	rcʰe	r cʰ ê/e		7080	0	r cʰ ê/e - - -			
1533	WobziKhroskyabs	to tie (together)	pʰrɑ́ɣ	pʰrɑ́ɣ	pʰ r ɑ́/ɑ ɣ		7081	0	pʰ r ɑ́/ɑ ɣ			
1534	WobziKhroskyabs	to turn (around)	nʁɑlə̂le	nʁɑlə̂le	n ʁ ɑ l ə̂/ə l e		7112	0	n ʁ ɑ l ə̂/ə l e			
1535	WobziKhroskyabs	to wash	rʑə̂	rʑə̂	r ʑ ə̂/ə		7190	0	r - ʑ ə̂/ə -			
1536	WobziKhroskyabs	to yawn	sʁə́m vi	sʁə́m vi	s + ʁ ə́/ə m + v i		8337 7239 8339	0	s + ʁ ə́/ə m - + v i			
1537	WobziKhroskyabs	wide	rjə́m	rjə́m	r j ə́/ə m		7520	0	- r j ə́/ə - m			
1538	WobziKhroskyabs	wide	lə́m	lə́m	l ə́/ə m		7518	0	l - ə́/ə m -			
1539	Zhaba	I [first person singular]	ŋa¹³	ŋa¹³	ŋ ¹³/a		2	327	ŋ ¹³/a -		21719	
1540	Zhaba	above	ʌ¹³tʂhɿ³³	ʌ¹³tʂhɿ³³	¹³/ʌ + ʈʂʰ ³³/ɿ		45 7899	2262	- ¹³/ʌ + ʈʂʰ ³³/ɿ		21603	
1541	Zhaba	all	jo³³dzo⁵⁵	jo³³dzo⁵⁵	j ³³/o dz ⁵⁵/o		84	4514	j ³³/o dz ⁵⁵/o		21749	
1542	Zhaba	bad	ʂtʂu⁵⁵tʂu³³	ʂtʂu⁵⁵tʂu³³	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		124	2303	ʂ ʈʂ ⁵⁵/u ʈʂ ³³/u		21824	
1543	Zhaba	below, under	ɑ¹³tshɿ³³	ɑ¹³tshɿ³³	¹³/ɑ tsʰ ³³/ɿ		173	2263	¹³/ɑ tsʰ ³³/ɿ		21604	
1544	Zhaba	big	tɕi⁵⁵tɕi⁵⁵	tɕi⁵⁵tɕi⁵⁵	tɕ ⁵⁵/i tɕ ⁵⁵/i		8410	29701	- - tɕ ⁵⁵/i - tɕ ⁵⁵/i		21751	
1545	Zhaba	black	na⁵⁵na⁵⁵	na⁵⁵na⁵⁵	n ⁵⁵/a n ⁵⁵/a	_246	246	511	n ⁵⁵/a - - n ⁵⁵/a	tib?	22400	
1546	Zhaba	cold (of temperature)	vɪ⁵⁵vɪ⁵⁵	vɪ⁵⁵vɪ⁵⁵	v ⁵⁵/ɪ v ⁵⁵/ɪ		282	2307	v ⁵⁵/ɪ v ⁵⁵/ɪ		21835	
1547	Zhaba	cold (of temperature)	ʌ⁵⁵guɛ⁵⁵	ʌ⁵⁵guɛ⁵⁵	⁵⁵/ʌ g u ⁵⁵/ɛ		285	2793	⁵⁵/ʌ g u ⁵⁵/ɛ		24018	
1548	Zhaba	correct (right)	tʌ³³ndʑa⁵⁵	tʌ³³ndʑa⁵⁵	t ³³/ʌ n dʑ ⁵⁵/a		310	4542	t ³³/ʌ n dʑ ⁵⁵/a		21818	
1549	Zhaba	dark	na³³pu⁵⁵pu³³	na³³pu⁵⁵pu³³	n ³³/a + p ⁵⁵/u p ³³/u	_341 338	341 338	144	n ³³/a - - + p ⁵⁵/u p ³³/u	tib	16541	
1550	Zhaba	dirty	ma³³ʂtsᴜ̃⁵⁵ma³³	ma³³ʂtsᴜ̃⁵⁵ma³³	m ³³/a + ʂ ts ⁵⁵/ʊ̃ m ³³/a	356 _357	356 357	1005	m ³³/a + ʂ ts ⁵⁵/ʊ̃ - m ³³/a	tib	18066	
1551	Zhaba	dry	tʂy³³tʂy⁵⁵	tʂy³³tʂy⁵⁵	ʈʂ ³³/y ʈʂ ⁵⁵/y		392	2297	ʈʂ ³³/y ʈʂ ⁵⁵/y		21801	
1552	Zhaba	early	tə⁵⁵ra⁵⁵	tə⁵⁵ra⁵⁵	t ⁵⁵/ə r ⁵⁵/a		429	2295	t ⁵⁵/ə r - ⁵⁵/a		21793	
1553	Zhaba	eight	ɟe⁵⁵	ɟe⁵⁵	ɟ ⁵⁵/e		7733	183	- - ɟ - ⁵⁵/e -		22903	
1554	Zhaba	far	tʂi⁵⁵tʂi⁵⁵	tʂi⁵⁵tʂi⁵⁵	ʈʂ ⁵⁵/i ʈʂ ⁵⁵/i		463	2288	ʈʂ ⁵⁵/i - ʈʂ ⁵⁵/i		21759	
1555	Zhaba	firewood	sɛ¹³	sɛ¹³	sʰ ¹³/ɛ		507	6006	- sʰ - ¹³/ɛ -		21511	
1556	Zhaba	five	ŋøi¹³	ŋøi¹³	ŋ ø ¹³/i		534	10357	- ŋ - ø ¹³/i - -		21644	
1557	Zhaba	four	dʌ¹³	dʌ¹³	d ¹³/ʌ		562	263	- - d - ¹³/ʌ - - -		21643	
1558	Zhaba	full	ʌ⁵⁵pei⁵⁵	ʌ⁵⁵pei⁵⁵	⁵⁵/ʌ p e ⁵⁵/i		592	2705	⁵⁵/ʌ p e ⁵⁵/i		23686	
1559	Zhaba	good	lɪ⁵⁵lɪ⁵⁵	lɪ⁵⁵lɪ⁵⁵	l ⁵⁵/ɪ l ⁵⁵/ɪ		623	2302	l ⁵⁵/ɪ l ⁵⁵/ɪ		21823	
1560	Zhaba	green	dʑᴜ³³ nkhu⁵⁵	dʑᴜ³³ nkhu⁵⁵	dʑ ³³/ʊ n kʰ ⁵⁵/u	_659	659	3262	- dʑ ³³/ʊ n - kʰ ⁵⁵/u -	tib	23811	
1561	Zhaba	hard	kha³³kha⁵⁵	kha³³kha⁵⁵	kʰ ³³/a kʰ ⁵⁵/a		682	2299	- kʰ - ³³/a - - kʰ - ⁵⁵/a -		21806	
1562	Zhaba	heavy	lo⁵⁵lo⁵⁵	lo⁵⁵lo⁵⁵	l ⁵⁵/o l ⁵⁵/o		703	2294	- - - l - ⁵⁵/o - - - - l ⁵⁵/o		21789	
1563	Zhaba	here	kᴜ³³ ŋᴜ⁵⁵	kᴜ³³ ŋᴜ⁵⁵	k ³³/ʊ + ŋ ⁵⁵/ʊ		739 740	4601	k ³³/ʊ - - + ŋ ⁵⁵/ʊ		21736	
1564	Zhaba	here	kᴜ³³ khə⁵⁵	kᴜ³³ khə⁵⁵	k ³³/ʊ + kʰ ⁵⁵/ə		739 734	4601	k ³³/ʊ - - + - kʰ ⁵⁵/ə		21737	
1565	Zhaba	high / tall	ndʐo⁵⁵ndʐo⁵⁵	ndʐo⁵⁵ndʐo⁵⁵	n ɖʐ ⁵⁵/o n ɖʐ ⁵⁵/o		761	896	n ɖʐ ⁵⁵/o - - - n ɖʐ ⁵⁵/o		21754	
