ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	COGID	ALIGNMENT	BORROWING	ID_IN_SOURCE	NOTE	SUBGROUP
3409	Siyuewu Khroskyabs	eight	vjɑ́d	vjɑ́d	v + j ɑ́/ɑ d		8431 7733	0	v - + - - j - ɑ́/ɑ d		38818		Rgyalrongic
3725	Bragbar Situ	eight	kərcēt	kərcēt	k ə + r c ē/e t		8430 7733	0	k ə + r - c - ē/e t				Rgyalrongic
4174	Geshiza	eight	rjɛ	rjɛ	r j ɛ		7733	0	r - j - ɛ -				Rgyalrongic
4341	Guanyinqiao Khroskyabs	eight	vja⁵⁵	vja⁵⁵	v + j ⁵⁵/a		8431 7733	0	v - + - - j - ⁵⁵/a -				Rgyalrongic
4898	Njorogs Khroskyabs	eight	ʁvjat⁵³	ʁvjat⁵³	ʁ + v + j ⁵³/a t		8432 8431 7733	0	ʁ + v - + - - j - ⁵³/a t				Rgyalrongic
5511	Ngyaltsu Zbu	eight	vərɟet	vərɟet	v ə + r ɟ ê t		8431 7733	0	v ə + r - ɟ - ê t				Rgyalrongic
5599	Zlarong	eight	ɕɛ13	ɕɛ13	ɕ ¹³/ɛ		7733	0	- - ɕ - ¹³/ɛ -				Chamdoic
5860	Kyomkyo Situ	eight	kərscat	kərscat	k ə + r s c a t		8430 7733	0	k ə + r s c - a t				Rgyalrongic
6524	Mazur Stau	eight	rjɛ	rjɛ	r j ɛ		7733	0	r - j - ɛ -				Rgyalrongic
7110	Yaoji Situ	eight	wu⁵⁵rjɐt⁵⁵	wu⁵⁵rjɐt⁵⁵	w u ⁵⁵ r j ɐ t ⁵⁵								Rgyalrongic
7372	Cogtse Situ	eight	wurjat	wurjat	w u r j a t								Rgyalrongic
7669	Njorogs Khroskyabs	eight	ʁvjat⁵³	ʁvjat⁵³	ʁ v j a t ⁵³								Rgyalrongic
7983	mBrongrdzon Khroskyabs	eight	vjætʔ	vjætʔ	v j æ t ʔ								Rgyalrongic
8033	Bawang Horpa	eight	rdʒɐj	rdʒɐj	r d ʒ ɐ j								Rgyalrongic
8347	Situ in Jarongyiyu	eight	ɦu-ja	ɦu-ja	ɦ u j a								Rgyalrongic
8499	Shimuliu Japhug	eight	kə-rtʃɐt	kə-rtʃɐt	k ə r t ʃ ɐ t								Rgyalrongic
7048	Yaoji Situ	fallen rock (after landslide)	ta⁵⁵roŋ³³	ta⁵⁵roŋ³³	t a ⁵⁵ r o ŋ ³³								Rgyalrongic
91	Bantawa	far	hyana	hyana	h y a n a		462	0	h y a n a				Kiranti
288	Stau	far	gɛ tɕe dʑi	gɛ tɕe dʑi	g ɛ + tɕ e dʑ i		464 463	1354	g ɛ + tɕ e - dʑ i		19271		rGyalrongic
560	Japhug	far	arqʰi	arqʰi	a r qʰ i		467	973	a r qʰ i		2751		rGyalrongic
932	Tangut	far	khwa	khwa	kʰ w a		470	10197	kʰ w a - -		38022		Tangut
1258	Wobzi Khroskyabs	far	rɑ́ŋ	rɑ́ŋ	r ɑ́/ɑ ŋ	_474	474	549	r ɑ́/ɑ ŋ	tib	31601		rGyalrongic
1554	Zhaba	far	tʂi⁵⁵tʂi⁵⁵	tʂi⁵⁵tʂi⁵⁵	ʈʂ ⁵⁵/i ʈʂ ⁵⁵/i		463	2288	ʈʂ ⁵⁵/i - ʈʂ ⁵⁵/i		21759		Qiangic
1821	Mbarkhams Situ	far	kə chə	kə chə	k ə + cçʰ ə		468 476	973	k ə + cçʰ ə		18002		rGyalrongic
2068	Kangding Minyag	far	qhuɐ⁵⁵rɐ⁵³	qhuɐ⁵⁵rɐ⁵³	qʰ u ⁵⁵/ɐ + r ⁵³/ɐ		470 8408	0	qʰ u ⁵⁵/ɐ - - + r ⁵³/ɐ		22993		Qiangic
2434	Pengbuxi Minyag	far	1qhaʐʌ	1qhaʐʌ	qʰ a + ʐ ¹/ʌ		470 8408	0	qʰ - a - - + ʐ ¹/ʌ				Qiangic
2637	Old Burmese	far	wiyḥ	wiyḥ	w i y ɦ		472	1028	w i y ɦ		31067		Burmish
2879	Xinlong Queyu	far	tha⁵⁵ri⁵⁵	tha⁵⁵ri⁵⁵	tʰ ⁵⁵/a + r ⁵⁵/i	_8037 _474	8037 474	0	- tʰ ⁵⁵/a - + r ⁵⁵/i -	tib	20590		Qiangic
3279	Pubarong Queyu	far	kwakwa	kwakwa	kʷ ā/a kʷ ā/a		470	0	kʷ - ā/a kʷ ā/a				Qiangic
3410	Siyuewu Khroskyabs	far	tɕʰerdə	tɕʰerdə	tɕʰ ê r d ə		463	0	tɕʰ ê r d ə		38819		Rgyalrongic
3726	Bragbar Situ	far	chɐ̂	chɐ̂	cʰ ɐ̂/ɐ		476	0	cʰ ɐ̂/ɐ				Rgyalrongic
4228	Geshiza	far	tɕæ-dʑi	tɕæ-dʑi	tɕ æ dʑ i		463	0	tɕ æ - dʑ i				Rgyalrongic
4342	Guanyinqiao Khroskyabs	far	ntʰɑŋ⁵⁵rɑŋ⁵⁵	ntʰɑŋ⁵⁵rɑŋ⁵⁵	n tʰ ⁵⁵/ɑ ŋ + r ⁵⁵/ɑ ŋ	_8037 _474	8037 474	0	n tʰ ⁵⁵/ɑ ŋ + r ⁵⁵/ɑ ŋ	tib			Rgyalrongic
4945	Njorogs Khroskyabs	far	tʰaq³³raŋ⁵³	tʰaq³³raŋ⁵³	tʰ ³³/a q + r ⁵³/a ŋ	_8037 _474	8037 474	0	- tʰ ³³/a q + r ⁵³/a ŋ	tib			Rgyalrongic
5279	Ngyaltsu Zbu	far	ɐrqə	ɐrqə	ɐ́/ɐ r q ə		467	0	ɐ́/ɐ r q ə				Rgyalrongic
5785	Zlarong	far	tha31ri55	tha31ri55	tʰ ³¹/a + r ⁵⁵/i	_8037 _474	8037 474	0	- tʰ ³¹/a - + r ⁵⁵/i -	tib			Chamdoic
5861	Kyomkyo Situ	far	kəche	kəche	k ə + cʰ e		468 476	0	k ə + cʰ e				Rgyalrongic
5862	Kyomkyo Situ	far	kəskriʔn	kəskriʔn	k ə + s k r i ʔ n		468 7772	0	k ə + s k r i ʔ n				Rgyalrongic
6525	Mazur Stau	far	dʑɛdʑi	dʑɛdʑi	dʑ ɛ dʑ i		463	0	dʑ ɛ - dʑ i				Rgyalrongic
6869	Njorogs Khroskyabs	far			r ⁵⁵/ə + r d ³³/i		8530 463	0	r ⁵⁵/ə + - - r d ³³/i				Rgyalrongic
6958	Yaoji Situ	far	kə³³tʃʰi⁵⁵	kə³³tʃʰi⁵⁵	k ə ³³ t ʃʰ i ⁵⁵								Rgyalrongic
7308	Cogtse Situ	far	kǝ-cʰi2 	kǝ-cʰi2_	k ǝ cʰ i 2 _								Rgyalrongic
7596	Njorogs Khroskyabs	far	rə⁵⁵rdi³³	rə⁵⁵rdi³³	r ə ⁵⁵ r d i ³³								Rgyalrongic
7924	mBrongrdzon Khroskyabs	far	tʰaʁraŋʔ	tʰaʁraŋʔ	tʰ a ʁ r a ŋ ʔ					Tib. thag.ring			Rgyalrongic
8034	Bawang Horpa	far	pɐti bɐr	pɐti_bɐr	p ɐ t i _ b ɐ r								Rgyalrongic
8035	Bawang Horpa	far	tʃɐ-dʒi	tʃɐ-dʒi	t ʃ ɐ d ʒ i								Rgyalrongic
8500	Shimuliu Japhug	far	ka-rqʰəj	ka-rqʰəj	k a r qʰ ə j								Rgyalrongic
99	Bantawa	few	ɨkcit	ɨkcit	ɨ k c i t		488	0	ɨ k c i t				Kiranti
561	Japhug	few	rkɯn	rkɯn	r k ɯ n	_492	492	0	r k ɯ n	tib	3069		rGyalrongic
1228	Tangut	few	zjɨɨr¹	zjɨɨr¹	z j ¹/ɨː r		497	0	- z j ¹/ɨː r				Tangut
1483	Wobzi Khroskyabs	few	tsɑqɑ	tsɑqɑ	ts ɑ̂/ɑ + q ɑ		497 8532	0	- ts - ɑ̂/ɑ - + q ɑ				rGyalrongic
2568	Pengbuxi Minyag	few	2nini	2nini	n i n ²/i		494	0	- - n i - n ²/i				Qiangic
3280	Pubarong Queyu	few	nini	nini	n i n ī/i		494	0	- - n i - n ī/i				Qiangic
3411	Siyuewu Khroskyabs	few	ɲóŋ	ɲóŋ	ɲ ó/o ŋ	_492	496	0	- - ɲ ó/o ŋ	tib	38821		Rgyalrongic
3727	Bragbar Situ	few	məne	məne	m ə n ê/e		494	0	m ə n ê/e - - -				Rgyalrongic
4293	Geshiza	few	wzə	wzə	w z ə		497	0	w z - ə -				Rgyalrongic
4343	Guanyinqiao Khroskyabs	few	tsɛ⁵⁵kɛ³³	tsɛ⁵⁵kɛ³³	ts ⁵⁵/ɛ + k ³³/ɛ		497 8532	0	- ts - ⁵⁵/ɛ - + k ³³/ɛ				Rgyalrongic
4774	Njorogs Khroskyabs	few	mneʔ⁵⁵	mneʔ⁵⁵	m n ⁵⁵/e ʔ		494	0	m - n ⁵⁵/e ʔ - -				Rgyalrongic
5063	Tshobdun	few	mɲiʔ	mɲiʔ	m ɲ i ʔ		494	0	m - ɲ i ʔ - -				Rgyalrongic
5377	Ngyaltsu Zbu	few	kə-mnéʔ	kə-mnéʔ	k ə + m n é/e ʔ		8047 494	0	k ə + m - n é/e ʔ - -				Rgyalrongic
5402	Ngyaltsu Zbu	few	kərkôn	kərkôn	k ə + r k ô/o n	8047 _492	8047 492	0	k ə + r k ô/o n	tib			Rgyalrongic
5704	Zlarong	few	ȵa31ȵo55	ȵa31ȵo55	ȵ ³¹/a ȵ ⁵⁵/o	_492	496	0	ȵ ³¹/a ȵ ⁵⁵/o -	tib			Chamdoic
5863	Kyomkyo Situ	few	kəmniʔ	kəmniʔ	k ə + m n i ʔ		8047 494	0	k ə + m - n i ʔ - -				Rgyalrongic
6526	Mazur Stau	few	mtɕʰe	mtɕʰe	m tɕʰ e		3	0	m tɕʰ e				Rgyalrongic
6527	Mazur Stau	few	ske	ske	s k e	_492	492	0	s k e -	tib			Rgyalrongic
6971	Yaoji Situ	few	kə⁵⁵mɲi⁵⁵	kə⁵⁵mɲi⁵⁵	k ə ⁵⁵ m ɲ i ⁵⁵								Rgyalrongic
7258	Cogtse Situ	few	kǝ-mne	kǝ-mne	k ǝ m n e								Rgyalrongic
7544	Njorogs Khroskyabs	few	mneʔ⁵⁵	mneʔ⁵⁵	m n e ʔ ⁵⁵								Rgyalrongic
7897	mBrongrdzon Khroskyabs	few	mneʔ	mneʔ	m n e ʔ								Rgyalrongic
8036	Bawang Horpa	few	(nɐ-)wzə	(nɐ-)wzə	( n ɐ ) w z ə								Rgyalrongic
8037	Bawang Horpa	few	ⁿtʰər	ⁿtʰər	ⁿtʰ ə r								Rgyalrongic
8038	Bawang Horpa	few	tʃʰɔ	tʃʰɔ	t ʃʰ ɔ								Rgyalrongic
8348	Situ in Jarongyiyu	few	ki-mu-ro	ki-mu-ro	k i m u r o								Rgyalrongic
8501	Shimuliu Japhug	few	kə-mni	kə-mni	k ə m n i								Rgyalrongic
230	Bantawa	firewood	sɨŋ	sɨŋ	s ɨ ŋ	fire	507	0	- s - ɨ ŋ				Kiranti
289	Stau	firewood	mə si	mə si	m ə + s i		7826 507	6006	- m ə + - s - i -		17659		rGyalrongic
562	Japhug	firewood	sɯɴɢoʁ	sɯɴɢoʁ	s ɯ + ɴɢ o ʁ		507 8215	6006	- s - ɯ - + ɴɢ o ʁ		25787		rGyalrongic
933	Tangut	firewood	sjɨ mə	sjɨ mə	s j ɨ + m ə		507 7826	0	- s j ɨ - + - m ə		38178		Tangut
1259	Wobzi Khroskyabs	firewood	se	se	s ê/e		507	6006	- s - ê/e -		31606		rGyalrongic
1555	Zhaba	firewood	sɛ¹³	sɛ¹³	sʰ ¹³/ɛ		507	6006	- sʰ - ¹³/ɛ -		21511		Qiangic
1822	Mbarkhams Situ	firewood	ʃᴇ	ʃᴇ	ʃ ɛ	_7825	7825	6006	ʃ ɛ	tib	17737		rGyalrongic
2069	Kangding Minyag	firewood	tshə³³rø⁵³	tshə³³rø⁵³	tsʰ ³³/ə + r ⁵³/ø		510 8217	0	tsʰ ³³/ə + r ⁵³/ø		22863		Qiangic
2495	Pengbuxi Minyag	firewood	1tshəʐø	1tshəʐø	tsʰ ə + ʐ ¹/ø		510 8217	0	tsʰ ə + ʐ ¹/ø				Qiangic
2638	Old Burmese	firewood	thaṅḥ	thaṅḥ	tʰ a ŋ ɦ		512	3872	tʰ a ŋ ɦ		31068		Burmish
2880	Xinlong Queyu	firewood	se⁵⁵	se⁵⁵	s ⁵⁵/e		507	0	- s - ⁵⁵/e -		25415		Qiangic
3243	Pubarong Queyu	firewood	ˣsǒ	ˣsǒ	x s ǒ/o		507	0	x s - ǒ/o -				Qiangic
3412	Siyuewu Khroskyabs	firewood	se	se	s ê/e		507	0	- s - ê/e -		38822		Rgyalrongic
3728	Bragbar Situ	firewood	ɕe	ɕe	ɕ ê/e	_7825	7825	0	ɕ ê/e	tib			Rgyalrongic
4205	Geshiza	firewood	si	si	sʰ i		507	0	- sʰ - i -				Rgyalrongic
4344	Guanyinqiao Khroskyabs	firewood	se⁵³	se⁵³	s ⁵³/e		507	0	- s - ⁵³/e -				Rgyalrongic
4904	Njorogs Khroskyabs	firewood	se⁵⁵	se⁵⁵	s ⁵⁵/e		507	0	- s - ⁵⁵/e -				Rgyalrongic
5025	Tshobdun	firewood	kɐ́ju	kɐ́ju	k ɐ́/ɐ j u		511	0	k ɐ́/ɐ j u				Rgyalrongic
5357	Ngyaltsu Zbu	firewood	kɐju	kɐju	k ɐ j û/u		511	0	k ɐ j û/u				Rgyalrongic
5450	Ngyaltsu Zbu	firewood	sə́tɕhɐʁ	sə́tɕhɐʁ	s ə́/ə + tɕʰ ɐ ʁ		507 8216	0	- s - ə́/ə - + tɕʰ ɐ ʁ				Rgyalrongic
5801	Zlarong	firewood	tshi53	tshi53	tsʰ ⁵³/i		510	0	tsʰ ⁵³/i				Chamdoic
5864	Kyomkyo Situ	firewood	ʃu	ʃu	ʃ u	_7825	7825	0	ʃ u	tib			Rgyalrongic
6528	Mazur Stau	firewood	ɣməsi	ɣməsi	ɣ m ə + s i		7826 7825	0	ɣ m ə + s i				Rgyalrongic
7026	Yaoji Situ	firewood	ʃe⁵⁵ 	ʃe⁵⁵_	ʃ e ⁵⁵ _								Rgyalrongic
7137	Cogtse Situ	firewood	ʃe	ʃe	ʃ e								Rgyalrongic
7412	Njorogs Khroskyabs	firewood	se⁵⁵	se⁵⁵	s e ⁵⁵								Rgyalrongic
7812	mBrongrdzon Khroskyabs	firewood	seʔ	seʔ	s e ʔ								Rgyalrongic
8039	Bawang Horpa	firewood	sʰi	sʰi	sʰ i								Rgyalrongic
8349	Situ in Jarongyiyu	firewood	ɕeŋ	ɕeŋ	ɕ e ŋ					Tib. ɕiŋ			Rgyalrongic
8502	Shimuliu Japhug	firewood	si	si	s i								Rgyalrongic
37	Bantawa	five	cʰuk-ka	cʰuk-ka	cʰ u k + k a	_-:suffix/ka	532 533	0	cʰ u k + k a				Kiranti
290	Stau	five	ɴɢvɛ	ɴɢvɛ	ɴ ɢ v ɛ		534	10357	ɴ ɢ v ɛ - - -		23891		rGyalrongic
563	Japhug	five	kɯmŋu	kɯmŋu	k ɯ + m ŋ u		533 534	10357	k ɯ + m ŋ - u - - -		3281		rGyalrongic
934	Tangut	five	ŋwə	ŋwə	ŋ w ə		534	10357	- ŋ w ə - - -		38040		Tangut
1260	Wobzi Khroskyabs	five	mŋɑ́	mŋɑ́	m ŋ ɑ́/ɑ		534	10357	m ŋ - ɑ́/ɑ - - -		31608		rGyalrongic
1556	Zhaba	five	ŋøi¹³	ŋøi¹³	ŋ ø ¹³/i		534	10357	- ŋ - ø ¹³/i - -		21644		Qiangic
1823	Mbarkhams Situ	five	kə mŋo	kə mŋo	k ə + m ŋ o		533 534	10357	k ə + m ŋ - o - - -		17916		rGyalrongic
2070	Kangding Minyag	five	ɴɑ⁵³	ɴɑ⁵³	ɴ ⁵³/ɑ		534	0	- ɴ - ⁵³/ɑ - - -		23738		Qiangic
2071	Kangding Minyag	five	ŋæ⁵³	ŋæ⁵³	ŋ ⁵³/æ		534	0	- ŋ - ⁵³/æ - - -		22873		Qiangic
2417	Pengbuxi Minyag	five	1ɴa-	1ɴa-	ɴ ¹/a		534	0	- ɴ - ¹/a - - -				Qiangic
2639	Old Burmese	five	ṅaḥ	ṅaḥ	ŋ ā/a ɦ		534	10357	- ŋ - ā/a - - ɦ		31069		Burmish
2881	Xinlong Queyu	five	ŋua⁵⁵	ŋua⁵⁵	ŋ u ⁵⁵/a		534	0	- ŋ u ⁵⁵/a - - -		20465		Qiangic
3186	Pubarong Queyu	five	ŋwaʐo	ŋwaʐo	ŋ w a + ʐ o		534 7994	0	- ŋ w a - - - + ʐ o				Qiangic
3413	Siyuewu Khroskyabs	five	mŋɑ́d	mŋɑ́d	m ŋ ɑ́/ɑ d		534	0	m ŋ - ɑ́/ɑ - d -		38823		Rgyalrongic
3729	Bragbar Situ	five	kəmŋɐ̂j	kəmŋɐ̂j	k ə + m ŋ ɐ̂/ɐ j		533 534	0	k ə + m ŋ - ɐ̂/ɐ j - -				Rgyalrongic
4148	Geshiza	five	ŋuæ	ŋuæ	ŋ u æ		534	0	- ŋ u æ - - -				Rgyalrongic
4345	Guanyinqiao Khroskyabs	five	mŋa⁵⁵	mŋa⁵⁵	m ŋ ⁵⁵/a		534	0	m ŋ - ⁵⁵/a - - -				Rgyalrongic
4776	Njorogs Khroskyabs	five	mŋa⁵⁵	mŋa⁵⁵	m ŋ ⁵⁵/a		534	0	m ŋ - ⁵⁵/a - - -				Rgyalrongic
5030	Tshobdun	five	kə́mŋo	kə́mŋo	k ə́/ə + m ŋ o		533 534	0	k ə́/ə + m ŋ - o - - -				Rgyalrongic
5399	Ngyaltsu Zbu	five	kəmŋɐ̂	kəmŋɐ̂	k ə + m ŋ ɐ̂/ɐ		533 534	0	k ə + m ŋ - ɐ̂/ɐ - - -				Rgyalrongic
5718	Zlarong	five	ŋa13	ŋa13	ŋ ¹³/a		534	0	- ŋ - ¹³/a - - -				Chamdoic
5865	Kyomkyo Situ	five	kəmŋi	kəmŋi	k ə + m ŋ i		533 534	0	k ə + m ŋ - i - - -				Rgyalrongic
6529	Mazur Stau	five	nɢvɛ	nɢvɛ	n ɢ v ɛ		534	0	n ɢ v ɛ - - -				Rgyalrongic
6947	Yaoji Situ	five	kə³³ŋo⁵⁵	kə³³ŋo⁵⁵	k ə ³³ ŋ o ⁵⁵								Rgyalrongic
7167	Cogtse Situ	five	kǝ-mŋo2	kǝ-mŋo2	k ǝ m ŋ o 2								Rgyalrongic
7446	Njorogs Khroskyabs	five	mŋa⁵⁵	mŋa⁵⁵	m ŋ a ⁵⁵								Rgyalrongic
7835	mBrongrdzon Khroskyabs	five	mŋæʔ	mŋæʔ	m ŋ æ ʔ								Rgyalrongic
8040	Bawang Horpa	five	wŋwɐ	wŋwɐ	w ŋ w ɐ								Rgyalrongic
8350	Situ in Jarongyiyu	five	ki-ŋo	ki-ŋo	k i ŋ o								Rgyalrongic
8503	Shimuliu Japhug	five	kə-mŋu	kə-mŋu	k ə m ŋ u								Rgyalrongic
145	Bantawa	four	lek-ka	lek-ka	l e k k a		557	0	l e k k a				Kiranti
291	Stau	four	ɤɮə	ɤɮə	ɤ + ɮ ə		8433 562	263	ɤ - - - - - - - - - - + - - ɮ - ə - - -		19151		rGyalrongic
564	Japhug	four	kɯβde	kɯβde	k ɯ + β d e		8434 562	263	k ɯ + β - d - e - - -		3705		rGyalrongic
935	Tangut	four	ljɨɨr	ljɨɨr	l j ɨː r		562	263	- - l j ɨː r - -		37958		Tangut
1261	Wobzi Khroskyabs	four	vdə́	vdə́	v d ə́/ə		562	263	v - d - ə́/ə - - -		31618		rGyalrongic
1557	Zhaba	four	dʌ¹³	dʌ¹³	d ¹³/ʌ		562	263	- - d - ¹³/ʌ - - -		21643		Qiangic
1824	Mbarkhams Situ	four	kə wdi	kə wdi	k ə + w d i		8434 562	263	k ə + w - d - i - - -		21340		rGyalrongic
2073	Kangding Minyag	four	rə⁵³	rə⁵³	r ⁵³/ə		562	0	- - r - ⁵³/ə - - -		22870		Qiangic
2530	Pengbuxi Minyag	four	1ʐʌ-	1ʐʌ-	ʐ ¹/ʌ		562	0	- - ʐ - ¹/ʌ - - -				Qiangic
2640	Old Burmese	four	liyḥ	liyḥ	l i y ɦ		562	263	- - l - i - y ɦ		31070		Burmish
2882	Xinlong Queyu	four	bʒi¹³	bʒi¹³	b ʒ ¹³/i	_566	566	0	b ʒ ¹³/i	tib	20464		Qiangic
3281	Pubarong Queyu	four	bʑɨ̄ʐo	bʑɨʐo	b ʑ ɨ̄/ɨ + ʐ o	_566	566 8097	0	b ʑ ɨ̄/ɨ + ʐ o	tib			Qiangic
3414	Siyuewu Khroskyabs	four	vdə́	vdə́	v d ə́/ə		562	0	v - d - ə́/ə - - -		38825		Rgyalrongic
3730	Bragbar Situ	four	kojdi	kojdi	k o + j d î/i		8434 562	0	k o + - j d - î/i - - -				Rgyalrongic
4295	Geshiza	four	wʑæ	wʑæ	w ʑ æ		562	0	w - ʑ - æ - - -			pas un emprunt, c.f. to lick	Rgyalrongic
4346	Guanyinqiao Khroskyabs	four	vdə⁵⁵	vdə⁵⁵	v d ⁵⁵/ə		562	0	v - d - ⁵⁵/ə - - -				Rgyalrongic
4728	Njorogs Khroskyabs	four	ɣdi⁵⁵	ɣdi⁵⁵	ɣ + d ⁵⁵/i		8434 562	0	ɣ - + - - d - ⁵⁵/i - - -				Rgyalrongic
5416	Ngyaltsu Zbu	four	kɯvdɑ	kɯvdɑ	k ɯ + v d ɑ̂/ɑ		8434 562	0	k ɯ + v - d - ɑ̂/ɑ - - -				Rgyalrongic
5612	Zlarong	four	ɣə13	ɣə13	ɣ ¹³/ə	_566	566	0	- ɣ ¹³/ə	tib			Chamdoic
5866	Kyomkyo Situ	four	kəbdu	kəbdu	k ə + b d u		8434 562	0	k ə + b - d - u - - -				Rgyalrongic
6530	Mazur Stau	four	ɣɮə	ɣɮə	ɣ + ɮ ə		0 562	0	ɣ + - - ɮ - ə - - -				Rgyalrongic
6978	Yaoji Situ	four	kə⁵⁵pri⁵⁵	kə⁵⁵pri⁵⁵	k ə ⁵⁵ p r i ⁵⁵								Rgyalrongic
7355	Cogtse Situ	four	kǝ-wdi2	kǝ-wdi2	k ǝ w d i 2								Rgyalrongic
7649	Njorogs Khroskyabs	four	ɣdi⁵⁵	ɣdi⁵⁵	ɣ d i ⁵⁵								Rgyalrongic
7964	mBrongrdzon Khroskyabs	four	vdiʔ	vdiʔ	v d i ʔ								Rgyalrongic
8041	Bawang Horpa	four	wʒɐ	wʒɐ	w ʒ ɐ								Rgyalrongic
8351	Situ in Jarongyiyu	four	ki-si-li	ki-si-li	k i s i l i								Rgyalrongic
8504	Shimuliu Japhug	four	kə-vde	kə-vde	k ə v d e								Rgyalrongic
15	Bantawa	full	bʰeplo	bʰeplo	bʱ e p l o		581	0	bʱ e p l o				Kiranti
292	Stau	full	rə xsɛ	rə xsɛ	r ə + x + s ɛ		583 8552 584	1357	r ə + x + s ɛ -		19281		rGyalrongic
565	Japhug	full	mtsʰɤt	mtsʰɤt	m + tsʰ ɤ t		8553 8575	1357	m - + tsʰ ɤ t		3864		rGyalrongic
936	Tangut	full	sə¹	sə¹	s ¹/ə		584	1357	s ¹/ə -		3868		Tangut
1262	Wobzi Khroskyabs	full	fsǽ	fsǽ	f + s ǽ/æ		8552 584	1357	f + s ǽ/æ -		31624		rGyalrongic
1558	Zhaba	full	ʌ⁵⁵pei⁵⁵	ʌ⁵⁵pei⁵⁵	⁵⁵/ʌ p e ⁵⁵/i		592	2705	⁵⁵/ʌ p e ⁵⁵/i		23686		Qiangic
1825	Mbarkhams Situ	full	kə mȵot	kə mȵot	k ə + m + ȵ o t		587 8553 8554	978	k ə + m - + ȵ o t		18009		rGyalrongic
2074	Kangding Minyag	full	to⁵⁵sə³³	to⁵⁵sə³³	t ⁵⁵/o + s ³³/ə		583 584	0	t ⁵⁵/o + s ³³/ə -		20693		Qiangic
2075	Kangding Minyag	full	tə³³sə⁵³	tə³³sə⁵³	t ³³/ə + s ⁵³/ə		583 584	0	t ³³/ə + s ⁵³/ə -		21884		Qiangic
2487	Pengbuxi Minyag	full	1tɔsə	1tɔsə	t ɔ̙ + s ¹/ə		583 584	0	t ɔ̙ + s ¹/ə -				Qiangic
2641	Old Burmese	full	plañʔ	plañʔ	p l a ɲ ʔ		589	149	p l a ɲ ʔ		31071		Burmish
2883	Xinlong Queyu	full	psɔ⁵⁵	psɔ⁵⁵	p + s ⁵⁵/ɔ		8552 584	0	p + s ⁵⁵/ɔ -		20598		Qiangic
3209	Pubarong Queyu	full	sò	so	sʰ ò/o		584	0	sʰ ò/o -				Qiangic
3415	Siyuewu Khroskyabs	full	fsód	fsód	f + s ó/o d		8552 584	0	f + s ó/o d		38826		Rgyalrongic
3731	Bragbar Situ	full	məjōt	məjōt	m ə + j ō/o t		8553 8554	0	m ə + j ō/o t				Rgyalrongic
4347	Guanyinqiao Khroskyabs	full	fsɛ⁵⁵	fsɛ⁵⁵	f + s ⁵⁵/ɛ		8552 584	0	f + s ⁵⁵/ɛ -				Rgyalrongic
4722	Njorogs Khroskyabs	full	fsot⁵⁵	fsot⁵⁵	f + s o ⁵⁵/t		8552 584	0	f + s o ⁵⁵/t				Rgyalrongic
5235	Tshobdun	full	vɟaʔ	vɟaʔ	v ɟ a ʔ		591	0	v ɟ a ʔ				Rgyalrongic
5360	Ngyaltsu Zbu	full	kɑ-mtshot	kɑ-mtshot	k ɑ + m + tsʰ ô/oˠ t		587 8553 8575	0	k ɑ + m - - + tsʰ ô/oˠ t				Rgyalrongic
5867	Kyomkyo Situ	full	kəməjot	kəməjot	k ə + m ə + j o t		587 8553 8554	0	k ə + m ə + j o t				Rgyalrongic
6531	Mazur Stau	full	sɛ	sɛ	s ɛ		584	0	s ɛ -				Rgyalrongic
6977	Yaoji Situ	full	kə⁵⁵ɲyt⁵⁵	kə⁵⁵ɲyt⁵⁵	k ə ⁵⁵ ɲ y t ⁵⁵								Rgyalrongic
7323	Cogtse Situ	full	kǝ-mɲot	kǝ-mɲot	k ǝ m ɲ o t								Rgyalrongic
7613	Njorogs Khroskyabs	full	fsot⁵⁵	fsot⁵⁵	f s o t ⁵⁵								Rgyalrongic
7936	mBrongrdzon Khroskyabs	full	χfsʌtʔ	χfsʌtʔ	χ f s ʌ t ʔ								Rgyalrongic
8042	Bawang Horpa	full	ɐsʰɐ	ɐsʰɐ	ɐ sʰ ɐ								Rgyalrongic
8043	Bawang Horpa	full	mtsʰɐ	mtsʰɐ	m t sʰ ɐ								Rgyalrongic
8044	Bawang Horpa	full	ⁿbɐbɐ	ⁿbɐbɐ	ⁿb ɐ b ɐ								Rgyalrongic
8505	Shimuliu Japhug	full	kə-mtsʰət	kə-mtsʰət	k ə m t sʰ ə t								Rgyalrongic
193	Bantawa	good	nuwak	nuwak	n u w a k		605	0	n u w a k				Kiranti
293	Stau	good	ʁjɛ	ʁjɛ	ʁ j ɛ		607	2852	ʁ j ɛ -		19357		rGyalrongic
566	Japhug	good	sna	sna	s n a		610	3913	s n a -		32069		rGyalrongic
567	Japhug	good	pe	pe	p e		627	179	p e - -		3970		rGyalrongic
937	Tangut	good	ŋa²	ŋa²	ŋ ²a̙/a		621	1682	ŋ ²a̙/a		3974		Tangut
1263	Wobzi Khroskyabs	good	tsʰâ	tsʰâ	tsʰ â/a		620	3751	tsʰ â/a -		31627		rGyalrongic
