ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
1508	Zhaba	morning	sᴜ⁵⁵	sᴜ⁵⁵	s ⁵⁵/ʊ		1108
1762	MbarkhamsSitu	morning	tɑ nɑp	tɑ nɑp	t ɑ + n ɑ p		1103 1117
2010	KangdingMinyag	morning	nɐ³³nɐ⁵³	nɐ³³nɐ⁵³	n ³³/ɐ n ⁵³/ɐ		1117
2322	PengbuxiMinyag	morning	1nʌnʌ	1nʌnʌ	n ʌ n ¹/ʌ		1117
2323	PengbuxiMinyag	morning	1nʌnʌ	1nʌnʌ	n ʌ n ¹/ʌ		3548
2565	OldBurmese	morning	naṃ◦nak	naṃ◦nak	n a m̩/m + n a k		1112 1117
2807	XinlongQueyu	morning	mthɛ³³riɛ⁵⁵	mthɛ³³riɛ⁵⁵	m tʰ ³³/ɛ + r i ⁵⁵/ɛ		7842 8274
3073	PubarongQueyu	morning	naʐi	naʐi	n ā/aː + ʐ i		1117 8274
3074	PubarongQueyu	morning	naʐi	naʐi	n ā/aː + ʐ i		3548 8279
3338	SiyuewuKhroskyabs	morning	serʁi	serʁi	s ê + r ʁ i		1108 8275
3440	SiyuewuKhroskyabs	morning	serʁi	serʁi	s ê + r ʁ i		3547 8281
3653	BragbarSitu	morning	ta-niɛ̂p	ta-niɛ̂p	t a + n i ɛ̂/ɛ p		1103 1117
3753	BragbarSitu	morning	ta-niɛ̂p	ta-niɛ̂p	t a + n i ɛ̂/ɛ p		3543 3548
3951	Geshiza	morning	gædə	gædə	g æ + d ə		1105 8277
3952	Geshiza	morning	gædə	gædə	g æ d ə		3545
4257	GuanyinqiaoKhroskyabs	morning	nvse⁵³	nvse⁵³	n v s ⁵³/e		1108
4360	GuanyinqiaoKhroskyabs	morning	nvse⁵³	nvse⁵³	n v s ⁵³/e		3547
4653	NjorogsKhroskyabs	morning	na³³re⁵⁵	na³³re⁵⁵	n ³³/a + r ⁵⁵/e		1117 8274
4654	NjorogsKhroskyabs	morning	na³³re⁵⁵	na³³re⁵⁵	n ³³/a + r ⁵⁵/e		3548 8279
5039	Tshobdun	morning	siz	siz	s i z		1108
5040	Tshobdun	morning	siz	siz	s i z		8547
5070	Tshobdun	morning	təmtʃuɣʔzɐrnaʔ	təmtʃuɣʔzɐrnaʔ	t ə m tʃ u ɣ ʔ z ɐ r n a ʔ		3556
5332	NgyaltsuZbu	morning	təmtɕhə́ɣʔ	təmtɕhə́ɣʔ	t ə m tɕʰ ə́/ə ɣ ʔ		1110
5333	NgyaltsuZbu	morning	təmtɕhə́ɣʔ	təmtɕhə́ɣʔ	t ə m tɕʰ ə́/ə ɣ ʔ		3549
5512	Zlarong	morning	mu31su55phe31phi31	mu31su55phe31phi31	m ³¹/u + s ⁵⁵/u + pʰ ³¹/e pʰ ³¹/i		8278 1108 8276
5513	Zlarong	morning	mu31su55phe31phi31	mu31su55phe31phi31	m ³¹/u + s ⁵⁵/u + pʰ ³¹/e pʰ ³¹/i		3555 3547 8280
5640	Zlarong	morning	thu55re55	thu55re55	tʰ ⁵⁵/u + r ⁵⁵/e		7842 8274
5641	Zlarong	morning	thu55re55	thu55re55	tʰ ⁵⁵/u + r ⁵⁵/e		3557 8279
6007	MazurStau	morning	kæɕæ	kæɕæ	k æ + ɕ æ		1105 1106
308	Stau	narrow	xtɕhe xtɕhe	xtɕhe xtɕhe	x tɕʰ e x tɕʰ e		1142
565	Japhug	narrow	tɕɤr	tɕɤr	tɕ ɤ r		1130
897	Tangut	narrow	dʑjii	dʑjii	dʑ j iː		7857
898	Tangut	narrow	tɕhjɨ	tɕhjɨ	tɕʰ j ɨ		1142
1209	WobziKhroskyabs	narrow	ʁrô	ʁrô	ʁ r ô/o		1133
1509	Zhaba	narrow	tɕhi⁵⁵tɕhi⁵⁵	tɕhi⁵⁵tɕhi⁵⁵	tɕʰ ⁵⁵/i tɕʰ ⁵⁵/i		1142
1763	MbarkhamsSitu	narrow	kə tʃor	kə tʃor	k ə + tʃ o r		1135 1130
2011	KangdingMinyag	narrow	tshe⁵⁵tshe⁵³	tshe⁵⁵tshe⁵³	tsʰ ⁵⁵/e tsʰ ⁵³/e		1137
2248	PengbuxiMinyag	narrow	1ɣuɣu	1ɣuɣu	ɣ u ɣ ¹/u		1136
2401	PengbuxiMinyag	narrow	1tshetshe	1tshetshe	tsʰ e tsʰ ¹/e		1137
2566	OldBurmese	narrow	kyanḥ	kyanḥ	k y a n ɦ		1140
2808	XinlongQueyu	narrow	tɕhə⁵⁵tʃhə³³	tɕhə⁵⁵tʃhə³³	tɕʰ ⁵⁵/ə tʃʰ ³³/ə		1142
3198	PubarongQueyu	narrow	ʐũʐũ	ʐũʐũ	ʐ ũ ʐ ũ̄/ũ		1133
3339	SiyuewuKhroskyabs	narrow	tsræ̂z	tsræ̂z	ts r æ̂/æ z		1134
3340	SiyuewuKhroskyabs	narrow	ʁrô	ʁrô	ʁ r ô/o		1133
3654	BragbarSitu	narrow	ŋgôr	ŋgôr	ŋg ô/o r		1138
3655	BragbarSitu	narrow	tɕôr	tɕôr	tɕ ô/o r		1130
4081	Geshiza	narrow	ro	ro	r o		1133
4258	GuanyinqiaoKhroskyabs	narrow	tsra⁵³	tsra⁵³	ts r ⁵³/a		1134
4767	NjorogsKhroskyabs	narrow	ʁroʔs⁵⁵	ʁroʔs⁵⁵	ʁ r ⁵⁵/o ʔ s		1133
5232	NgyaltsuZbu	narrow	kə-ⁿɡór	kə-ⁿɡór	k ə + ⁿg ó/o r		1135 1138
5243	NgyaltsuZbu	narrow	kə-tɕiz	kə-tɕiz	k ə + tɕ î/i z		1135 1142
5652	Zlarong	narrow	tshɨ31mə55	tshɨ31mə55	tsʰ ³¹/ɨ m ⁵⁵/ə		1137
5737	KyomkyoSitu	narrow	kəcor	kəcor	k ə + c o r		1135 1130
6008	MazurStau	narrow	toq	toq	t o q		7964
6009	MazurStau	narrow	xtɕʰe	xtɕʰe	x tɕʰ e		1142
309	Stau	near	nthɑ ne	nthɑ ne	n tʰ ɑ + n e		1161 1162
566	Japhug	near	armbat	armbat	a + r + mb a t		1159 8474 1172
899	Tangut	near	bjij	bjij	b j i j		1172
1210	WobziKhroskyabs	near	kə-ntʰâ	kə-ntʰâ	k ə + n tʰ â/a		1165 1161
1510	Zhaba	near	ȵʌ⁵⁵ʐu³³	ȵʌ⁵⁵ʐu³³	ȵ ⁵⁵/ʌ + ʐ ³³/u		8473 8472
1764	MbarkhamsSitu	near	kə wɑt	kə wɑt	k ə + w ɑ t		1165 1172
2012	KangdingMinyag	near	qɐ⁵⁵rɐ⁵³	qɐ⁵⁵rɐ⁵³	q ⁵⁵/ɐ + r ⁵³/ɐ		1166 8472
2343	PengbuxiMinyag	near	1qæʐʌ	1qæʐʌ	q æ + ʐ ¹/ʌ		1166 8472
2567	OldBurmese	near	niḥ	niḥ	n ī/i ɦ		1162
2809	XinlongQueyu	near	qɛ¹³qɛ⁵⁵	qɛ¹³qɛ⁵⁵	q ¹³/ɛ + q ⁵⁵/ɛ		1166 1166
3111	PubarongQueyu	near	səntsʰo	səntsʰo	s ə n tsʰ o		1170
3341	SiyuewuKhroskyabs	near	ntʰǽʁ	ntʰǽʁ	n tʰ ǽ/æ ʁ		1161
3656	BragbarSitu	near	o-rmbiɛ̄t	o-rmbiɛ̄t	o + r + ᵐb i ɛ̄/ɛ t		1159 8474 1172
4124	Geshiza	near	tɕæ-ne	tɕæ-ne	tɕ æ + n e		1174 1162
4259	GuanyinqiaoKhroskyabs	near	kɛ⁵⁵ntʰa⁵⁵	kɛ⁵⁵ntʰa⁵⁵	k ⁵⁵/ɛ + n tʰ ⁵⁵/a		7859 1161
4260	GuanyinqiaoKhroskyabs	near	tɕʰa³³ba⁵⁵	tɕʰa³³ba⁵⁵	tɕʰ ³³/a + b ⁵⁵/a		1174 1172
4723	NjorogsKhroskyabs	near	rə⁵⁵bat³³	rə⁵⁵bat³³	r ⁵⁵/ə + b ³³/a t		1168 1172
4891	Tshobdun	near	kɐrnɛ	kɐrnɛ	k ɐ + r n ɛ		1165 1162
5138	NgyaltsuZbu	near	k-ɐrni	k-ɐrni	k ɐ + r n î/i		1165 1162
5478	Zlarong	near	khã31tshã53	khã31tshã53	kʰ ³¹/ã tsʰ ⁵³/ã		1173
5738	KyomkyoSitu	near	tarnam	tarnam	t a + r n a m		1164 1162
6010	MazurStau	near	ɣdo	ɣdo	ɣ d o		7965
6011	MazurStau	near	skʰədzi	skʰədzi	s kʰ ə dz i		7966
191	Bantawa	new	nuŋwa	nuŋwa	n u ŋ w a		1187
310	Stau	new	xso xso	xso xso	x s o x s o		1191
567	Japhug	new	ɕɤɣ	ɕɤɣ	ɕ ɤ ɣ		1188
900	Tangut	new	sjiw¹	sjiw¹	s j i ¹/w		1195
1211	WobziKhroskyabs	new	çsæ̂rpɑ	çsæ̂rpɑ	ç s æ̂/æ r p ɑ		1191
1511	Zhaba	new	se⁵⁵pi⁵⁵	se⁵⁵pi⁵⁵	s ⁵⁵/e p ⁵⁵/i		1191
1765	MbarkhamsSitu	new	kə ʃək|	kə ʃək|	k ə + ʃ ə k		1192 1188
2013	KangdingMinyag	new	sɐ⁵⁵pæ⁵³	sɐ⁵⁵pæ⁵³	s ⁵⁵/ɐ p ⁵³/æ		1191
2490	PengbuxiMinyag	new	2sɛpɛ	2sɛpɛ	s ɛ p ²/ɛ		1191
2568	OldBurmese	new	sac	sac	s a c		1188
2810	XinlongQueyu	new	xsar⁵⁵pe⁵⁵	xsar⁵⁵pe⁵⁵	x s ⁵⁵/a r p ⁵⁵/e		1191
3199	PubarongQueyu	new	səpi	səpi	s ə̄/ə p i		1191
3342	SiyuewuKhroskyabs	new	xsæ̂rpɑ	xsæ̂rpɑ	x s æ̂/æ r p ɑ		1191
3657	BragbarSitu	new	ɕək	ɕək	ɕ ə̄ k		1188
3658	BragbarSitu	new	tsâr	tsâr	ts â/a r		1193
4261	GuanyinqiaoKhroskyabs	new	sɛr⁵⁵pa³³	sɛr⁵⁵pa³³	s ⁵⁵/ɛ r p ³³/a		1191
4769	NjorogsKhroskyabs	new	sar³³paʔ⁵⁵	sar³³paʔ⁵⁵	s ³³/a r p ⁵⁵/a ʔ		1191
5111	Tshobdun	new	χsɐ́rpe	χsɐ́rpe	χ s ɐ́/ɐ r p e		1191
5300	NgyaltsuZbu	new	səme	səme	s ə + m ê/e		1191 8163
5600	Zlarong	new	se31pe55	se31pe55	s ³¹/e p ⁵⁵/e		1191
6012	MazurStau	new	χsɛrpæ	χsɛrpæ	χ s ɛ r p æ		1191
189	Bantawa	nine	nu-ka	nu-ka	n u + k a		7900 1210
311	Stau	nine	ngə	ngə	n g ə		1210
568	Japhug	nine	kɯngɯt	kɯngɯt	k ɯ + n g ɯ t		8162 1210
901	Tangut	nine	gjɨɨ	gjɨɨ	g j ɨː		1210
1212	WobziKhroskyabs	nine	ŋgə̂	ŋgə̂	ŋ g ə̂/ə		1210
1512	Zhaba	nine	ngʌ¹³	ngʌ¹³	n g ¹³/ʌ		1210
1766	MbarkhamsSitu	nine	kə ngu	kə ngu	k ə + n g u		8162 1210
2014	KangdingMinyag	nine	ŋguə⁵³	ŋguə⁵³	ŋ g u ⁵³/ə		1210
2015	KangdingMinyag	nine	gu⁵³	gu⁵³	g ⁵³/u		1210
2335	PengbuxiMinyag	nine	1ŋɡə-	1ŋɡə-	ŋ g ¹/ə		1210
2569	OldBurmese	nine	kuiwḥ	kuiwḥ	k u i w ɦ		1210
2811	XinlongQueyu	nine	ku⁵⁵	ku⁵⁵	k ⁵⁵/u		1210
3053	PubarongQueyu	nine	kuʐo	kuʐo	k u + ʐ o		1210 8161
3343	SiyuewuKhroskyabs	nine	ŋgə́d	ŋgə́d	ŋ g ə́/ə d		1210
3659	BragbarSitu	nine	kəngu	kəngu	k ə + n g û/u		8162 1210
4037	Geshiza	nine	ŋgæ	ŋgæ	ŋ g æ		1210
4262	GuanyinqiaoKhroskyabs	nine	ŋgə⁵³	ŋgə⁵³	ŋ g ⁵³/ə		1210
4643	NjorogsKhroskyabs	nine	mgu⁵⁵	mgu⁵⁵	m g ⁵⁵/u		1210
4894	Tshobdun	nine	kə́nⁿgət	kə́nⁿgət	k ə́/ə + n ⁿg ə t		8162 1210
5251	NgyaltsuZbu	nine	kənⁿɡə́t	kənⁿɡə́t	k ə + n ⁿg ə́/ə t		8162 1210
5570	Zlarong	nine	ŋɡo13	ŋɡo13	ŋ g ¹³/o		1210
5739	KyomkyoSitu	nine	kəngu	kəngu	k ə + n g u		8162 1210
6013	MazurStau	nine	nɡə	nɡə	n ɡ ə		1210
312	Stau	noon	sȵə xcçən	sȵə xcçən	s ȵ ə + x cç ə n		7860 1237
569	Japhug	noon	sŋɯχcɤl	sŋɯχcɤl	s ŋ ɯ + χ c ɤ l		7860 1237
570	Japhug	noon	saχsɯ	saχsɯ	s a χ s ɯ		1235
675	Japhug	noon	sŋɯχcɤl	sŋɯχcɤl	s ŋ ɯ + χ c ɤ l		3854 7896
834	Japhug	noon	saχsɯ	saχsɯ	s a χ s ɯ		3851
902	Tangut	noon	ljij	ljij	l j i j		1248
1167	Tangut	noon	ljij	ljij	l j i j		3858
1213	WobziKhroskyabs	noon	mtsæ̂r	mtsæ̂r	m ts æ̂/æ r		1249
1433	WobziKhroskyabs	noon	mtsæ̂r	mtsæ̂r	m ts æ̂/æ r		3852
1513	Zhaba	noon	ʂȵʌ¹³ʑu¹³	ʂȵʌ¹³ʑu¹³	ʂ ȵ ¹³/ʌ + ʑ ¹³/u		7860 8294
1767	MbarkhamsSitu	noon	sɐk sə	sɐk sə	s ɐ k s ə		1235
1768	MbarkhamsSitu	noon	tə mtso	tə mtso	t ə + m ts o		1251 1249
2016	KangdingMinyag	noon	tʂə³³tʂe⁵³pu³³	tʂə³³tʂe⁵³pu³³	ʈʂ ³³/ə ʈʂ ⁵³/e p ³³/u		1243
2291	PengbuxiMinyag	noon	1mɛtə	1mɛtə	m ɛ t ¹/ə		1242
2292	PengbuxiMinyag	noon	1mɛtə	1mɛtə	m ɛ t ¹/ə		3855
2570	OldBurmese	noon	mo₁nḥ◦tañʔ	mo₁nḥ◦tañʔ	m o₁/o n ɦ + t a ɲ ʔ		1244 1245
2571	OldBurmese	noon	niyʔ◦lañ	niyʔ◦lañ	n i y ʔ + l a ɲ		7860 1254
2812	XinlongQueyu	noon	ndzɛ¹³ri⁵⁵tie¹³	ndzɛ¹³ri⁵⁵tie¹³	n dz ¹³/ɛ r ⁵⁵/i + t i ¹³/e		1249 8295
3047	PubarongQueyu	noon	kʰəsɨthe	kʰəsɨthe	kʰ ə s ɨ̄/ɨ tʰ e		1246
3048	PubarongQueyu	noon	kʰəsɨthe	kʰəsɨthe	kʰ ə s ɨ̄/ɨ tʰ e		3856
3344	SiyuewuKhroskyabs	noon	snə̂go	snə̂go	s n ə̂/ə + g o		7860 8293
3451	SiyuewuKhroskyabs	noon	snə̂go	snə̂go	s n ə̂/ə + g o		3854 8333
3660	BragbarSitu	noon	saksə̂	saksə̂	s a k s ə̂/ə		1235
3766	BragbarSitu	noon	saksə̂	saksə̂	s a k s ə̂/ə		3851
3999	Geshiza	noon	mdzo	mdzo	m dz o		1249
4000	Geshiza	noon	mdzo	mdzo	m dz o		3852
4263	GuanyinqiaoKhroskyabs	noon	vʑe⁵³	vʑe⁵³	v ʑ ⁵³/e		1239
4375	GuanyinqiaoKhroskyabs	noon	vʑe⁵³	vʑe⁵³	v ʑ ⁵³/e		3853
4836	NjorogsKhroskyabs	noon	vʑo⁵⁵	vʑo⁵⁵	v ʑ ⁵⁵/o		1239
4837	NjorogsKhroskyabs	noon	vʑo⁵⁵	vʑo⁵⁵	v ʑ ⁵⁵/o		3853
5027	Tshobdun	noon	sásu	sásu	s á/a s u		1235
5028	Tshobdun	noon	sásu	sásu	s á/a s u		3851
5375	NgyaltsuZbu	noon	sɐ́χsə	sɐ́χsə	s ɐ́/ɐ χ s ə		1235
5412	NgyaltsuZbu	noon	sɐ́χsə	sɐ́χsə	s ɐ́/ɐ χ s ə		3851
5558	Zlarong	noon	ȵi31ŋɡa55	ȵi31ŋɡa55	ȵ ³¹/i ŋ g ⁵⁵/a		1250
5560	Zlarong	noon	ȵi31ŋɡa55	ȵi31ŋɡa55	ȵ ³¹/i ŋ g ⁵⁵/a		3860
5740	KyomkyoSitu	noon	saksə	saksə	s a k s ə		1235
5831	KyomkyoSitu	noon	saksə	saksə	s a k s ə		3851
6014	MazurStau	noon	sɲəχci	sɲəχci	s ɲ ə + χ c i		7860 1237
6120	MazurStau	noon	sɲəχcʰi	sɲəχcʰi	s ɲ ə + χ cʰ i		3854 7896
313	Stau	old (of person)	gə dar	gə dar	g ə + d a r		7862 1266
571	Japhug	old (of person)	rgɤz	rgɤz	r g ɤ z		1267
903	Tangut	old (of person)	nar	nar	n a r		1274
1214	WobziKhroskyabs	old (of person)	dɑ́r	dɑ́r	d ɑ́/ɑ r		1266
1514	Zhaba	old (of person)	ga³³gi⁵⁵	ga³³gi⁵⁵	g ³³/a + g ⁵⁵/i		8297 1267
1769	MbarkhamsSitu	old (of person)	kə mtʂo	kə mtʂo	k ə + m ʈʂ o		1265 1264
2017	KangdingMinyag	old (of person)	ndæ³³ndæ⁵³	ndæ³³ndæ⁵³	n d ³³/æ n d ⁵³/æ		1266
2305	PengbuxiMinyag	old (of person)	1ndɛndɛ	1ndɛndɛ	n d ɛ n d ¹/ɛ		1266
2572	OldBurmese	old (of person)	ʔuiw	ʔuiw	ʔ u i w		1272
2813	XinlongQueyu	old (of person)	ga¹³rge⁵⁵	ga¹³rge⁵⁵	g ¹³/a + r g ⁵⁵/e		8297 1267
3116	PubarongQueyu	old (of person)	tæ	tæ	t æ		1273
3345	SiyuewuKhroskyabs	old (of person)	dɑ́r	dɑ́r	d ɑ́/ɑ r		1266
3661	BragbarSitu	old (of person)	mtʂɐ̂	mtʂɐ̂	m ʈʂ ɐ̂/ɐ		1264
3943	Geshiza	old (of person)	dar	dar	d a r		1266
4127	Geshiza	old (of person)	tɕʰæ	tɕʰæ	tɕʰ æ		1276
4264	GuanyinqiaoKhroskyabs	old (of person)	rgan⁵³	rgan⁵³	r g ⁵³/a n		1267
4726	NjorogsKhroskyabs	old (of person)	rgan⁵⁵	rgan⁵⁵	r g ⁵⁵/a n		1267
5352	NgyaltsuZbu	old (of person)	və-nbɐ́ʔ	və-nbɐ́ʔ	v ə + n b ɐ́/ɐ ʔ		7861 1271
5459	Zlarong	old (of person)	ɡæ31ŋɡɔ55	ɡæ31ŋɡɔ55	g ³¹/æ + ŋ g ⁵⁵/ɔ		8297 1267
5741	KyomkyoSitu	old (of person)	kəmtʳoʔk	kəmtʳoʔk	k ə + m tʳ o ʔ k		1265 1264
6015	MazurStau	old (of person)	rɡevʑə	rɡevʑə	r ɡ e + v ʑ ə		1267 8296
97	Bantawa	one	ɨk	ɨk	ɨ k		1288
314	Stau	one	ro	ro	r o		8531
572	Japhug	one	ci	ci	c i		1293
904	Tangut	one	lew¹	lew¹	l ¹/e w		8531
1215	WobziKhroskyabs	one	rɑɣ	rɑɣ	r ɑ̂/ɑ ɣ		8531
1515	Zhaba	one	tɛ⁵⁵	tɛ⁵⁵	t ⁵⁵/ɛ		1292
1770	MbarkhamsSitu	one	kə tᴇk	kə tᴇk	k ə + t ɛ k		1301 1292
2018	KangdingMinyag	one	tɐ⁵³	tɐ⁵³	t ⁵³/ɐ		1292
2019	KangdingMinyag	one	tɕi⁵³	tɕi⁵³	tɕ ⁵³/i		1293
2416	PengbuxiMinyag	one	1tʌ-	1tʌ-	t ¹/ʌ		1292
2573	OldBurmese	one	tac	tac	t a c		1292
2814	XinlongQueyu	one	tɯ⁵⁵	tɯ⁵⁵	t ⁵⁵/ɯ		1292
3122	PubarongQueyu	one	təʐo	təʐo	t ə̄/ə + ʐ o		1292 8045
3346	SiyuewuKhroskyabs	one	ræ̂ɣ	ræ̂ɣ	r æ̂/æ ɣ		8531
3662	BragbarSitu	one	kərik	kərik	k ə + r ī/i k		1301 8531
4064	Geshiza	one	rəu	rəu	r ə u		8531
4265	GuanyinqiaoKhroskyabs	one	rɑɣ⁵³	rɑɣ⁵³	r ⁵³/ɑ ɣ		8531
4724	NjorogsKhroskyabs	one	rək⁵⁵	rək⁵⁵	r ⁵⁵/ə k		8531
4895	Tshobdun	one	kərdɔʔ	kərdɔʔ	k ə + r d ɔ ʔ		1301 8044
5248	NgyaltsuZbu	one	kəldʑɐ̂	kəldʑɐ̂	k ə + l dʑ ɐ̂/ɐ		1301 1293
5252	NgyaltsuZbu	one	kə́rdoʁ	kə́rdoʁ	k ə́/ə + r d o ʁ		1301 8044
5642	Zlarong	one	ti31khi55	ti31khi55	t ³¹/i + kʰ ⁵⁵/i		1292 8046
5742	KyomkyoSitu	one	kərdok	kərdok	k ə + r d o k		1301 8044
5743	KyomkyoSitu	one	kərek	kərek	k ə + r e k		1301 8531
5744	KyomkyoSitu	one	kərgi	kərgi	k ə + r g i		1301 1304
6016	MazurStau	one	ro	ro	r o		8531
185	Bantawa	other	ni	ni	n i		1319
573	Japhug	other	kɯmaʁ	kɯmaʁ	k ɯ + m a ʁ		8154 1324
1140	Tangut	other	mjɨ¹	mjɨ¹	m j ¹/ɨ		1324
1415	WobziKhroskyabs	other	kʰɑkʰɑ	kʰɑkʰɑ	kʰ ɑ kʰ ɑ̂		1323
2418	PengbuxiMinyag	other	1tʌphe	1tʌphe	t ʌ pʰ ¹/e		1326
3200	PubarongQueyu	other	m̥eɪno	m̥eɪno	m̥ ē/e ɪ + n o		1324 8155
3347	SiyuewuKhroskyabs	other	kʰəkʰɑ	kʰəkʰɑ	kʰ ə kʰ ɑ̂		1323
3663	BragbarSitu	other	kə-maklâ	kə-maklâ	k ə + m a k + l â/a		8154 1324 8156
4050	Geshiza	other	pʰe	pʰe	pʰ e		1326
4266	GuanyinqiaoKhroskyabs	other	kʰɛ³³kʰa⁵³ɟi³³	kʰɛ³³kʰa⁵³ɟi³³	kʰ ³³/ɛ kʰ ⁵³/a + ɟ ³³/i		1323 8157
4614	NjorogsKhroskyabs	other	ka³³ka⁵⁵ɟo³³	ka³³ka⁵⁵ɟo³³	k ³³/a k ⁵⁵/a + ɟ ³³/o		1323 8157
4892	Tshobdun	other	kəmaʔ	kəmaʔ	k ə + m a ʔ		8154 1324
5249	NgyaltsuZbu	other	kəmɐ́ʁʔ	kəmɐ́ʁʔ	k ə + m ɐ́/ɐ ʁ ʔ		8154 1324
5745	KyomkyoSitu	other	kəmaʔk	kəmaʔk	k ə + m a ʔ k		8154 1324
6017	MazurStau	other	kʰækʰæ	kʰækʰæ	kʰ æ kʰ æ		1323
23	Bantawa	outside	buŋkʰa	buŋkʰa	b u ŋ kʰ a		1338
315	Stau	outside	phi su	phi su	pʰ i + s u		1339 1340
574	Japhug	outside	ɯ-pɕi	ɯ-pɕi	ɯ + p ɕ i		1341 1339
905	Tangut	outside	djɨr 2.77	djɨr 2.77	d j ɨ r		1350
1216	WobziKhroskyabs	outside	bjǽ	bjǽ	b j ǽ/æ		7914
1516	Zhaba	outside	nu³³pi⁵⁵	nu³³pi⁵⁵	n ³³/u + p ⁵⁵/i		1351 1339
1771	MbarkhamsSitu	outside	wu phji	wu phji	w u + pʰ j i		1341 1339
2020	KangdingMinyag	outside	le⁵³	le⁵³	l ⁵³/e		1344
2273	PengbuxiMinyag	outside	1le	1le	l ¹/e		1344
2574	OldBurmese	outside	ʔa◦praṅ	ʔa◦praṅ	ʔ a + p r a ŋ		1346 1347
2815	XinlongQueyu	outside	ʁa¹³wə⁵⁵	ʁa¹³wə⁵⁵	ʁ ¹³/a w ⁵⁵/ə		1349
3044	PubarongQueyu	outside	jaɢə	jaɢə	j a ɢ ə		1349
3348	SiyuewuKhroskyabs	outside	bjǽz	bjǽz	b j ǽ/æ z		7914
3664	BragbarSitu	outside	ptɕhi	ptɕhi	p tɕʰ î		1339
4052	Geshiza	outside	pʰjə	pʰjə	pʰ j ə		1339
4267	GuanyinqiaoKhroskyabs	outside	pʰji⁵³	pʰji⁵³	pʰ j ⁵³/i		1339
4583	NjorogsKhroskyabs	outside	ə³³pʰji⁵⁵	ə³³pʰji⁵⁵	³³/ə + pʰ j ⁵⁵/i		1341 1339
4970	Tshobdun	outside	pʰjiʔ	pʰjiʔ	pʰ j i ʔ		1339
5285	NgyaltsuZbu	outside	phjiʔ	phjiʔ	pʰ j í/i ʔ		1339
5588	Zlarong	outside	pu55ŋe53	pu55ŋe53	p ⁵⁵/u ŋ ⁵³/e		1352
5746	KyomkyoSitu	outside	təmphi	təmphi	t ə + m pʰ i		1342 1339
5747	KyomkyoSitu	outside	təmphu	təmphu	t ə + m pʰ u		1342 1339
5748	KyomkyoSitu	outside	wəmphij	wəmphij	w ə + m pʰ i j		1341 1339
6018	MazurStau	outside	pʰjə	pʰjə	pʰ j ə		1339
2	Bantawa	painful	akma (akta)	akma (akta)	a k m a + a k t a		1366 1367
575	Japhug	painful	mŋɤm	mŋɤm	m + ŋ ɤ m		7616 1369
1416	WobziKhroskyabs	painful	ŋə̂m	ŋə̂m	ŋ ə̂/ə m		1369
2518	PengbuxiMinyag	painful	2təŋe	2təŋe	t ə + ŋ ²/e		7618 1369
3201	PubarongQueyu	painful	ɲo ʐɨ	ɲo ʐɨ	ɲ ō/o + ʐ ɨ		7619 7619
3349	SiyuewuKhroskyabs	painful	ŋə̂m	ŋə̂m	ŋ ə̂/ə m		1369
3665	BragbarSitu	painful	mə-ŋâm	m ə- ŋ â m	m ə + ŋ â/a m		7616 1369
4044	Geshiza	painful	ŋo	ŋo	ŋ o		1369
4268	GuanyinqiaoKhroskyabs	painful	ŋəm⁵³	ŋəm⁵³	ŋ ə ⁵³/m		1369
4691	NjorogsKhroskyabs	painful	ŋam⁵³	ŋam⁵³	ŋ a ⁵³/m		1369
5105	Tshobdun	painful	zdəɣ	zdəɣ	z d ə ɣ		7620
5328	NgyaltsuZbu	painful	tə́-mŋɐm	tə́-mŋɐm	t ə́/ə + m + ŋ ɐ m		7618 7616 1369
5643	Zlarong	painful	tsa31li53	tsa31li53	ts ³¹/a l ⁵³/i		1376
5686	Zlarong	painful	zɤ53li31	zɤ53li31	z ⁵³/ɤ l ³¹/i		1376
5749	KyomkyoSitu	painful	kəmaŋam	kəmaŋam	k ə + m a + ŋ a m		7622 7616 1369
6019	MazurStau	painful	ʁzɛr	ʁzɛr	ʁ z ɛ r		7918
316	Stau	red	gɛ ngi	gɛ ngi	g ɛ + n g i		7863 7864
317	Stau	red	ngi ngi	ngi ngi	n g i n g i		7864
576	Japhug	red	ɣɯrni	ɣɯrni	ɣ ɯ + r + n i		8298 8475 1389
906	Tangut	red	njij¹	njij¹	n j i ¹/j		1389
1217	WobziKhroskyabs	red	mnə̂ɣ	mnə̂ɣ	m + n ə̂/ə + ɣ		8299 1389 8476
1517	Zhaba	red	ȵi⁵⁵ȵi³³	ȵi⁵⁵ȵi³³	ȵ ⁵⁵/i ȵ ³³/i		1389
1772	MbarkhamsSitu	red	kə wu rnᴇ	kə wu rnᴇ	k ə + w u + r + n ɛ		1388 8298 8475 1389
2021	KangdingMinyag	red	ni⁵⁵ni³³	ni⁵⁵ni³³	n ⁵⁵/i n ³³/i		1389
2319	PengbuxiMinyag	red	1nini	1nini	n i n ¹/i		1389
2575	OldBurmese	red	ni	ni	n ī/i		1389
2816	XinlongQueyu	red	ȵ̥e⁵⁵ȵ̥e³³	ȵ̥e⁵⁵ȵ̥e³³	ȵ̊ ⁵⁵/e ȵ̊ ³³/e		1389
3202	PubarongQueyu	red	ɲ̥in̥i	ɲ̥in̥i	ɲ̊ ī/i n̥ i		1389
